@relation abalone19
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.43, 0.35, 0.11, 0.406, 0.1675, 0.081, 0.135, negative
I, 0.355, 0.28, 0.085, 0.2905, 0.095, 0.0395, 0.115, negative
M, 0.575, 0.425, 0.14, 0.8635, 0.393, 0.227, 0.2, negative
M, 0.58, 0.47, 0.165, 0.9975, 0.3935, 0.242, 0.33, negative
F, 0.55, 0.425, 0.135, 0.8515, 0.362, 0.196, 0.27, negative
I, 0.21, 0.15, 0.05, 0.042, 0.0175, 0.0125, 0.015, negative
I, 0.39, 0.295, 0.095, 0.203, 0.0875, 0.045, 0.075, negative
M, 0.47, 0.37, 0.12, 0.5795, 0.293, 0.227, 0.14, negative
F, 0.5, 0.4, 0.14, 0.6615, 0.2565, 0.1755, 0.22, negative
M, 0.445, 0.35, 0.12, 0.4425, 0.192, 0.0955, 0.135, negative
F, 0.505, 0.4, 0.125, 0.583, 0.246, 0.13, 0.175, negative
M, 0.52, 0.4, 0.12, 0.58, 0.234, 0.1315, 0.185, negative
F, 0.595, 0.475, 0.17, 1.247, 0.48, 0.225, 0.425, negative
F, 0.605, 0.45, 0.195, 1.098, 0.481, 0.2895, 0.315, negative
F, 0.6, 0.47, 0.15, 0.922, 0.363, 0.194, 0.305, negative
F, 0.52, 0.425, 0.165, 0.9885, 0.396, 0.225, 0.32, negative
F, 0.625, 0.495, 0.165, 1.262, 0.507, 0.318, 0.39, negative
M, 0.425, 0.35, 0.105, 0.393, 0.13, 0.063, 0.165, negative
F, 0.49, 0.375, 0.135, 0.6125, 0.2555, 0.102, 0.22, negative
F, 0.56, 0.43, 0.15, 0.8825, 0.3465, 0.172, 0.31, negative
F, 0.47, 0.365, 0.105, 0.4205, 0.163, 0.1035, 0.14, negative
I, 0.27, 0.195, 0.06, 0.073, 0.0285, 0.0235, 0.03, negative
I, 0.375, 0.275, 0.09, 0.238, 0.1075, 0.0545, 0.07, negative
M, 0.71, 0.54, 0.165, 1.959, 0.7665, 0.261, 0.78, negative
M, 0.345, 0.255, 0.09, 0.2005, 0.094, 0.0295, 0.063, negative
F, 0.49, 0.38, 0.125, 0.549, 0.245, 0.1075, 0.174, negative
I, 0.17, 0.13, 0.095, 0.03, 0.013, 0.0080, 0.01, negative
M, 0.59, 0.475, 0.145, 1.053, 0.4415, 0.262, 0.325, negative
M, 0.645, 0.485, 0.215, 1.514, 0.546, 0.2615, 0.635, negative
F, 0.575, 0.46, 0.165, 1.124, 0.2985, 0.1785, 0.44, negative
F, 0.605, 0.485, 0.16, 1.222, 0.53, 0.2575, 0.28, negative
M, 0.725, 0.57, 0.19, 2.55, 1.0705, 0.483, 0.725, negative
I, 0.36, 0.26, 0.09, 0.1785, 0.0645, 0.037, 0.075, negative
I, 0.315, 0.245, 0.085, 0.1435, 0.053, 0.0475, 0.05, negative
I, 0.225, 0.16, 0.045, 0.0465, 0.025, 0.015, 0.015, negative
F, 0.63, 0.48, 0.16, 1.199, 0.5265, 0.335, 0.315, negative
F, 0.585, 0.46, 0.17, 0.9325, 0.365, 0.271, 0.29, negative
F, 0.49, 0.365, 0.145, 0.6345, 0.1995, 0.1625, 0.22, negative
M, 0.335, 0.25, 0.09, 0.181, 0.0755, 0.0415, 0.06, negative
M, 0.5, 0.405, 0.14, 0.6155, 0.241, 0.1355, 0.205, negative
F, 0.445, 0.355, 0.15, 0.485, 0.181, 0.125, 0.155, negative
I, 0.365, 0.27, 0.085, 0.205, 0.078, 0.0485, 0.07, negative
I, 0.27, 0.2, 0.07, 0.1, 0.034, 0.0245, 0.035, negative
I, 0.3, 0.23, 0.08, 0.1275, 0.0435, 0.0265, 0.04, negative
I, 0.33, 0.255, 0.085, 0.1655, 0.063, 0.039, 0.06, negative
I, 0.305, 0.245, 0.075, 0.156, 0.0675, 0.038, 0.045, negative
F, 0.575, 0.46, 0.185, 1.094, 0.4485, 0.217, 0.345, negative
M, 0.56, 0.45, 0.185, 1.07, 0.3805, 0.175, 0.41, positive
M, 0.545, 0.46, 0.16, 0.8975, 0.341, 0.1655, 0.345, negative
F, 0.635, 0.505, 0.17, 1.415, 0.605, 0.297, 0.365, negative
F, 0.57, 0.44, 0.125, 0.865, 0.3675, 0.1725, 0.27, negative
M, 0.53, 0.42, 0.165, 0.8945, 0.319, 0.239, 0.245, negative
M, 0.27, 0.2, 0.08, 0.1205, 0.0465, 0.028, 0.04, negative
F, 0.46, 0.38, 0.13, 0.639, 0.3, 0.1525, 0.16, negative
M, 0.63, 0.515, 0.155, 1.259, 0.4105, 0.197, 0.41, negative
M, 0.655, 0.54, 0.215, 1.844, 0.7425, 0.327, 0.585, negative
I, 0.36, 0.285, 0.105, 0.2415, 0.0915, 0.057, 0.075, negative
F, 0.535, 0.415, 0.17, 0.879, 0.295, 0.1965, 0.285, negative
M, 0.53, 0.435, 0.155, 0.699, 0.288, 0.1595, 0.205, negative
M, 0.54, 0.435, 0.18, 0.996, 0.3835, 0.226, 0.325, negative
M, 0.6, 0.495, 0.195, 1.0575, 0.384, 0.19, 0.375, negative
I, 0.295, 0.215, 0.085, 0.128, 0.049, 0.034, 0.04, negative
M, 0.49, 0.395, 0.14, 0.549, 0.2215, 0.1275, 0.15, negative
M, 0.37, 0.28, 0.105, 0.234, 0.0905, 0.0585, 0.075, negative
M, 0.37, 0.28, 0.1, 0.252, 0.1065, 0.0595, 0.074, negative
F, 0.63, 0.485, 0.19, 1.2435, 0.4635, 0.3055, 0.39, negative
F, 0.62, 0.47, 0.2, 1.2255, 0.381, 0.27, 0.435, negative
I, 0.45, 0.355, 0.11, 0.4585, 0.194, 0.067, 0.14, negative
F, 0.58, 0.455, 0.155, 0.8365, 0.315, 0.1385, 0.32, negative
I, 0.19, 0.145, 0.04, 0.038, 0.0165, 0.0065, 0.015, negative
M, 0.385, 0.31, 0.1, 0.2845, 0.1065, 0.075, 0.1, negative
M, 0.335, 0.265, 0.105, 0.222, 0.0935, 0.056, 0.075, negative
M, 0.51, 0.4, 0.13, 0.6435, 0.27, 0.1665, 0.205, negative
I, 0.36, 0.28, 0.09, 0.2255, 0.0885, 0.04, 0.09, negative
M, 0.62, 0.475, 0.185, 1.325, 0.6045, 0.325, 0.33, negative
F, 0.565, 0.45, 0.195, 1.0035, 0.406, 0.2505, 0.285, negative
M, 0.575, 0.455, 0.145, 1.165, 0.581, 0.2275, 0.3, negative
F, 0.505, 0.375, 0.18, 0.568, 0.2325, 0.1495, 0.17, negative
M, 0.7, 0.58, 0.205, 2.13, 0.7415, 0.49, 0.58, negative
F, 0.645, 0.525, 0.19, 1.8085, 0.7035, 0.3885, 0.395, negative
F, 0.62, 0.5, 0.175, 1.186, 0.4985, 0.3015, 0.35, negative
F, 0.58, 0.455, 0.12, 1.0735, 0.479, 0.2735, 0.265, negative
F, 0.65, 0.545, 0.165, 1.566, 0.6645, 0.3455, 0.415, negative
M, 0.475, 0.375, 0.125, 0.593, 0.277, 0.115, 0.18, negative
I, 0.39, 0.31, 0.1, 0.302, 0.116, 0.064, 0.115, negative
I, 0.44, 0.345, 0.12, 0.365, 0.1655, 0.083, 0.11, negative
F, 0.525, 0.44, 0.15, 0.8425, 0.3685, 0.1985, 0.24, negative
M, 0.57, 0.44, 0.095, 0.827, 0.3395, 0.2215, 0.235, negative
M, 0.545, 0.44, 0.12, 0.8565, 0.3475, 0.1715, 0.24, negative
M, 0.6, 0.47, 0.155, 1.036, 0.4375, 0.196, 0.325, negative
M, 0.545, 0.42, 0.14, 0.7505, 0.2475, 0.13, 0.255, negative
I, 0.335, 0.26, 0.1, 0.192, 0.0785, 0.0585, 0.07, negative
M, 0.565, 0.455, 0.185, 0.9265, 0.354, 0.1575, 0.375, negative
I, 0.36, 0.28, 0.105, 0.199, 0.0695, 0.045, 0.08, negative
I, 0.22, 0.165, 0.055, 0.0545, 0.0215, 0.012, 0.02, negative
F, 0.465, 0.35, 0.115, 0.421, 0.1565, 0.091, 0.1345, negative
M, 0.575, 0.4, 0.155, 0.9325, 0.3605, 0.2445, 0.3, negative
M, 0.63, 0.48, 0.145, 1.0115, 0.4235, 0.237, 0.305, negative
F, 0.585, 0.465, 0.14, 0.908, 0.381, 0.1615, 0.315, negative
F, 0.625, 0.515, 0.15, 1.2415, 0.5235, 0.3065, 0.36, negative
F, 0.655, 0.51, 0.155, 1.2895, 0.5345, 0.2855, 0.41, negative
F, 0.625, 0.5, 0.15, 0.953, 0.3445, 0.2235, 0.305, negative
F, 0.615, 0.525, 0.155, 1.0385, 0.427, 0.2315, 0.345, negative
M, 0.555, 0.45, 0.175, 0.874, 0.3275, 0.202, 0.305, negative
F, 0.62, 0.52, 0.225, 1.1835, 0.378, 0.27, 0.395, negative
F, 0.6, 0.505, 0.19, 1.129, 0.4385, 0.256, 0.36, negative
F, 0.625, 0.485, 0.19, 1.1745, 0.4385, 0.2305, 0.42, negative
M, 0.6, 0.47, 0.175, 1.105, 0.4865, 0.247, 0.315, negative
F, 0.36, 0.27, 0.09, 0.1885, 0.0845, 0.0385, 0.055, negative
M, 0.155, 0.11, 0.04, 0.0155, 0.0065, 0.0030, 0.0050, negative
F, 0.57, 0.445, 0.155, 0.733, 0.282, 0.159, 0.235, negative
I, 0.47, 0.37, 0.12, 0.4705, 0.1845, 0.1055, 0.155, negative
M, 0.275, 0.205, 0.07, 0.094, 0.0335, 0.02, 0.0325, negative
F, 0.5, 0.375, 0.14, 0.604, 0.242, 0.1415, 0.179, negative
I, 0.555, 0.425, 0.18, 0.875, 0.3695, 0.2005, 0.255, negative
F, 0.66, 0.5, 0.165, 1.1905, 0.4585, 0.298, 0.37, negative
M, 0.35, 0.255, 0.065, 0.179, 0.0705, 0.0385, 0.06, negative
F, 0.59, 0.455, 0.155, 1.066, 0.382, 0.2275, 0.415, negative
I, 0.61, 0.475, 0.15, 0.9665, 0.4145, 0.2, 0.345, negative
I, 0.55, 0.425, 0.15, 0.806, 0.376, 0.171, 0.245, negative
I, 0.52, 0.425, 0.17, 0.6805, 0.28, 0.174, 0.195, negative
F, 0.37, 0.29, 0.115, 0.25, 0.111, 0.057, 0.075, negative
M, 0.535, 0.42, 0.15, 0.6995, 0.2575, 0.153, 0.24, negative
F, 0.55, 0.43, 0.14, 0.7135, 0.2565, 0.186, 0.225, negative
F, 0.39, 0.3, 0.1, 0.265, 0.1075, 0.06, 0.0865, negative
M, 0.325, 0.24, 0.075, 0.155, 0.0475, 0.0355, 0.06, negative
M, 0.235, 0.17, 0.055, 0.0515, 0.018, 0.0105, 0.0195, negative
F, 0.425, 0.335, 0.095, 0.322, 0.1205, 0.061, 0.125, negative
F, 0.38, 0.305, 0.095, 0.2815, 0.1255, 0.0525, 0.09, negative
I, 0.475, 0.365, 0.115, 0.49, 0.223, 0.1235, 0.1335, negative
M, 0.33, 0.255, 0.095, 0.1875, 0.0735, 0.045, 0.06, negative
I, 0.445, 0.33, 0.12, 0.347, 0.12, 0.084, 0.105, negative
F, 0.585, 0.475, 0.185, 0.9585, 0.4145, 0.1615, 0.33, negative
I, 0.535, 0.45, 0.17, 0.781, 0.3055, 0.1555, 0.295, negative
F, 0.38, 0.305, 0.105, 0.281, 0.1045, 0.0615, 0.09, negative
F, 0.395, 0.295, 0.095, 0.2245, 0.078, 0.054, 0.08, negative
M, 0.49, 0.39, 0.15, 0.573, 0.225, 0.124, 0.17, negative
F, 0.52, 0.395, 0.18, 0.64, 0.158, 0.11, 0.245, negative
F, 0.5, 0.375, 0.115, 0.5945, 0.185, 0.148, 0.19, negative
F, 0.535, 0.4, 0.15, 0.8045, 0.3345, 0.2125, 0.21, negative
M, 0.28, 0.205, 0.1, 0.1165, 0.0545, 0.0285, 0.03, negative
F, 0.43, 0.335, 0.12, 0.444, 0.155, 0.1145, 0.14, negative
M, 0.315, 0.25, 0.09, 0.203, 0.0615, 0.037, 0.0795, negative
I, 0.325, 0.25, 0.08, 0.176, 0.0595, 0.0355, 0.063, negative
M, 0.35, 0.255, 0.08, 0.1915, 0.08, 0.0385, 0.063, negative
I, 0.18, 0.125, 0.035, 0.0265, 0.0095, 0.0055, 0.0085, negative
M, 0.525, 0.41, 0.13, 0.99, 0.3865, 0.243, 0.295, negative
M, 0.505, 0.38, 0.13, 0.656, 0.227, 0.1785, 0.22, negative
M, 0.535, 0.41, 0.135, 0.862, 0.2855, 0.1525, 0.32, negative
F, 0.36, 0.265, 0.09, 0.2065, 0.078, 0.057, 0.06, negative
F, 0.52, 0.405, 0.14, 0.8175, 0.2795, 0.183, 0.26, negative
M, 0.57, 0.44, 0.155, 1.116, 0.4775, 0.2315, 0.27, negative
M, 0.57, 0.43, 0.12, 1.0615, 0.348, 0.167, 0.31, negative
M, 0.585, 0.405, 0.15, 1.2565, 0.435, 0.202, 0.325, negative
M, 0.545, 0.45, 0.15, 0.978, 0.3365, 0.1905, 0.3, negative
F, 0.53, 0.425, 0.17, 0.949, 0.3485, 0.2395, 0.278, negative
M, 0.505, 0.385, 0.145, 0.6775, 0.236, 0.179, 0.2, negative
F, 0.47, 0.36, 0.145, 0.537, 0.1725, 0.1375, 0.195, negative
M, 0.495, 0.385, 0.135, 0.709, 0.211, 0.1375, 0.262, negative
F, 0.505, 0.39, 0.16, 0.644, 0.2475, 0.2025, 0.1635, negative
F, 0.425, 0.345, 0.11, 0.3665, 0.125, 0.081, 0.117, negative
F, 0.48, 0.4, 0.125, 0.759, 0.2125, 0.179, 0.24, negative
I, 0.385, 0.29, 0.095, 0.312, 0.143, 0.0635, 0.086, negative
I, 0.385, 0.3, 0.1, 0.2895, 0.1215, 0.063, 0.09, negative
I, 0.395, 0.29, 0.095, 0.304, 0.127, 0.084, 0.077, negative
I, 0.4, 0.31, 0.1, 0.306, 0.13, 0.06, 0.094, negative
I, 0.41, 0.325, 0.1, 0.394, 0.208, 0.0655, 0.106, negative
I, 0.445, 0.325, 0.1, 0.378, 0.1795, 0.1, 0.089, negative
