@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.45, 0.32, 0.1, 0.381, 0.1705, 0.075, 0.115, negative
F, 0.46, 0.355, 0.13, 0.517, 0.2205, 0.114, 0.165, negative
M, 0.345, 0.255, 0.09, 0.2005, 0.094, 0.0295, 0.063, negative
F, 0.405, 0.325, 0.11, 0.3555, 0.151, 0.063, 0.117, negative
I, 0.28, 0.205, 0.08, 0.127, 0.052, 0.039, 0.042, negative
F, 0.605, 0.5, 0.185, 1.1185, 0.469, 0.2585, 0.335, negative
F, 0.585, 0.46, 0.17, 0.9325, 0.365, 0.271, 0.29, negative
F, 0.44, 0.34, 0.14, 0.482, 0.186, 0.1085, 0.16, negative
F, 0.455, 0.355, 0.12, 0.4495, 0.177, 0.104, 0.15, negative
M, 0.37, 0.28, 0.105, 0.234, 0.0905, 0.0585, 0.075, negative
F, 0.455, 0.37, 0.105, 0.4925, 0.216, 0.1245, 0.135, negative
I, 0.465, 0.375, 0.12, 0.471, 0.222, 0.119, 0.14, negative
M, 0.515, 0.455, 0.135, 0.7225, 0.295, 0.1625, 0.235, negative
F, 0.61, 0.485, 0.165, 1.0915, 0.3935, 0.2435, 0.33, positive
I, 0.36, 0.28, 0.105, 0.199, 0.0695, 0.045, 0.08, negative
I, 0.43, 0.34, 0.12, 0.3575, 0.151, 0.0645, 0.1045, negative
M, 0.325, 0.24, 0.075, 0.155, 0.0475, 0.0355, 0.06, negative
M, 0.31, 0.225, 0.075, 0.1295, 0.0455, 0.0335, 0.044, negative
I, 0.475, 0.365, 0.115, 0.49, 0.223, 0.1235, 0.1335, negative
M, 0.45, 0.34, 0.13, 0.3715, 0.1605, 0.0795, 0.105, negative
I, 0.58, 0.49, 0.195, 1.3165, 0.5305, 0.254, 0.41, positive
M, 0.345, 0.27, 0.095, 0.197, 0.0665, 0.05, 0.07, negative
M, 0.455, 0.34, 0.135, 0.462, 0.1675, 0.158, 0.12, negative
F, 0.505, 0.39, 0.16, 0.644, 0.2475, 0.2025, 0.1635, negative
M, 0.47, 0.37, 0.18, 0.51, 0.1915, 0.1285, 0.1625, negative
I, 0.485, 0.355, 0.105, 0.498, 0.2175, 0.096, 0.1525, negative
M, 0.635, 0.51, 0.17, 1.3555, 0.619, 0.305, 0.39, negative
M, 0.655, 0.52, 0.165, 1.4095, 0.586, 0.291, 0.405, negative
M, 0.475, 0.37, 0.125, 0.537, 0.222, 0.1215, 0.15, negative
F, 0.505, 0.39, 0.13, 0.674, 0.3165, 0.141, 0.1785, negative
F, 0.55, 0.445, 0.155, 0.9905, 0.544, 0.178, 0.218, negative
M, 0.58, 0.49, 0.13, 1.1335, 0.586, 0.2565, 0.237, negative
F, 0.625, 0.5, 0.165, 1.288, 0.573, 0.3035, 0.315, negative
M, 0.66, 0.535, 0.19, 1.5905, 0.6425, 0.297, 0.5175, negative
M, 0.52, 0.4, 0.145, 0.7765, 0.3525, 0.1845, 0.185, negative
I, 0.525, 0.4, 0.14, 0.601, 0.2625, 0.1285, 0.1835, negative
M, 0.545, 0.415, 0.14, 0.82, 0.4615, 0.127, 0.218, negative
M, 0.575, 0.445, 0.145, 0.847, 0.415, 0.1945, 0.22, negative
M, 0.58, 0.455, 0.195, 1.859, 0.945, 0.426, 0.441, negative
M, 0.585, 0.46, 0.145, 0.9335, 0.478, 0.1825, 0.235, negative
F, 0.635, 0.495, 0.015, 1.1565, 0.5115, 0.308, 0.2885, negative
I, 0.5, 0.38, 0.135, 0.594, 0.2945, 0.104, 0.1565, negative
I, 0.52, 0.395, 0.125, 0.663, 0.3005, 0.131, 0.1905, negative
I, 0.54, 0.42, 0.14, 0.7265, 0.3205, 0.1445, 0.229, negative
F, 0.55, 0.405, 0.125, 0.651, 0.2965, 0.137, 0.2, negative
M, 0.55, 0.43, 0.15, 0.8745, 0.413, 0.1905, 0.248, negative
F, 0.575, 0.48, 0.165, 1.078, 0.511, 0.2095, 0.306, negative
M, 0.585, 0.465, 0.155, 0.9145, 0.4555, 0.1965, 0.235, negative
M, 0.625, 0.455, 0.17, 1.082, 0.4955, 0.2345, 0.315, negative
F, 0.625, 0.515, 0.16, 1.264, 0.5715, 0.326, 0.321, negative
F, 0.63, 0.485, 0.17, 1.3205, 0.5945, 0.345, 0.345, negative
M, 0.65, 0.51, 0.19, 1.542, 0.7155, 0.3735, 0.375, negative
M, 0.415, 0.315, 0.115, 0.3895, 0.2015, 0.065, 0.103, negative
I, 0.47, 0.345, 0.14, 0.4615, 0.229, 0.1105, 0.116, negative
I, 0.53, 0.43, 0.13, 0.7045, 0.346, 0.1415, 0.189, negative
F, 0.545, 0.41, 0.14, 0.7405, 0.3565, 0.1775, 0.203, negative
M, 0.55, 0.425, 0.16, 0.793, 0.343, 0.2035, 0.215, negative
F, 0.56, 0.435, 0.15, 0.8715, 0.4755, 0.1835, 0.1835, negative
M, 0.575, 0.465, 0.15, 1.08, 0.595, 0.2065, 0.238, negative
M, 0.525, 0.4, 0.155, 0.707, 0.282, 0.1605, 0.225, negative
I, 0.545, 0.4, 0.13, 0.686, 0.3285, 0.1455, 0.18, negative
I, 0.58, 0.445, 0.125, 0.7095, 0.303, 0.1405, 0.235, negative
I, 0.61, 0.465, 0.125, 0.9225, 0.436, 0.19, 0.26, negative
M, 0.61, 0.47, 0.17, 1.1185, 0.5225, 0.2405, 0.31, negative
I, 0.625, 0.485, 0.15, 1.044, 0.438, 0.2865, 0.278, negative
F, 0.655, 0.51, 0.15, 1.043, 0.4795, 0.223, 0.305, negative
M, 0.66, 0.5, 0.165, 1.3195, 0.667, 0.269, 0.341, negative
M, 0.6, 0.465, 0.165, 1.038, 0.4975, 0.2205, 0.251, negative
M, 0.605, 0.475, 0.175, 1.2525, 0.5575, 0.3055, 0.343, negative
M, 0.645, 0.5, 0.16, 1.3815, 0.672, 0.326, 0.315, negative
I, 0.525, 0.415, 0.12, 0.596, 0.2805, 0.12, 0.1695, negative
I, 0.53, 0.43, 0.16, 0.7245, 0.321, 0.1275, 0.24, negative
I, 0.53, 0.405, 0.12, 0.632, 0.2715, 0.148, 0.1875, negative
I, 0.565, 0.435, 0.145, 0.8445, 0.3975, 0.158, 0.255, negative
M, 0.575, 0.45, 0.13, 0.785, 0.318, 0.193, 0.2265, negative
M, 0.58, 0.44, 0.16, 0.8295, 0.3365, 0.2005, 0.2485, negative
M, 0.62, 0.49, 0.15, 1.195, 0.4605, 0.302, 0.355, negative
M, 0.565, 0.445, 0.145, 0.9255, 0.4345, 0.212, 0.2475, negative
M, 0.66, 0.515, 0.195, 1.5655, 0.7345, 0.353, 0.386, negative
I, 0.455, 0.37, 0.125, 0.433, 0.201, 0.1265, 0.145, negative
M, 0.44, 0.35, 0.11, 0.4585, 0.2, 0.0885, 0.13, negative
M, 0.455, 0.35, 0.105, 0.401, 0.1575, 0.083, 0.135, negative
F, 0.47, 0.365, 0.12, 0.543, 0.2295, 0.1495, 0.15, negative
F, 0.38, 0.3, 0.09, 0.3215, 0.1545, 0.075, 0.095, negative
F, 0.565, 0.48, 0.175, 0.957, 0.3885, 0.215, 0.275, positive
I, 0.42, 0.305, 0.11, 0.28, 0.094, 0.0785, 0.0955, negative
M, 0.425, 0.315, 0.125, 0.3525, 0.1135, 0.0565, 0.13, positive
I, 0.335, 0.24, 0.095, 0.17, 0.062, 0.039, 0.055, negative
M, 0.475, 0.355, 0.125, 0.4625, 0.186, 0.107, 0.145, negative
M, 0.395, 0.305, 0.105, 0.282, 0.0975, 0.065, 0.096, negative
M, 0.645, 0.485, 0.155, 1.489, 0.5915, 0.312, 0.38, positive
M, 0.525, 0.425, 0.19, 0.872, 0.4625, 0.1725, 0.199, negative
F, 0.565, 0.44, 0.15, 0.983, 0.4475, 0.2355, 0.2485, negative
F, 0.6, 0.475, 0.135, 1.4405, 0.5885, 0.191, 0.3175, negative
M, 0.54, 0.435, 0.14, 0.7345, 0.33, 0.1595, 0.213, negative
M, 0.6, 0.46, 0.15, 1.247, 0.5335, 0.2735, 0.29, negative
F, 0.62, 0.51, 0.175, 1.2705, 0.5415, 0.323, 0.3225, negative
F, 0.625, 0.49, 0.155, 1.115, 0.484, 0.277, 0.3095, negative
