@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.53, 0.42, 0.135, 0.677, 0.2565, 0.1415, 0.21, negative
M, 0.475, 0.37, 0.125, 0.5095, 0.2165, 0.1125, 0.165, negative
M, 0.45, 0.32, 0.1, 0.381, 0.1705, 0.075, 0.115, negative
F, 0.55, 0.415, 0.135, 0.7635, 0.318, 0.21, 0.2, negative
M, 0.355, 0.29, 0.09, 0.3275, 0.134, 0.086, 0.09, negative
M, 0.47, 0.37, 0.12, 0.5795, 0.293, 0.227, 0.14, negative
F, 0.525, 0.425, 0.16, 0.8355, 0.3545, 0.2135, 0.245, negative
M, 0.505, 0.405, 0.11, 0.625, 0.305, 0.16, 0.175, negative
M, 0.595, 0.475, 0.14, 0.944, 0.3625, 0.189, 0.315, negative
F, 0.575, 0.445, 0.14, 0.941, 0.3845, 0.252, 0.285, negative
F, 0.46, 0.355, 0.13, 0.517, 0.2205, 0.114, 0.165, negative
M, 0.535, 0.435, 0.15, 0.725, 0.269, 0.1385, 0.25, negative
F, 0.51, 0.39, 0.135, 0.6335, 0.231, 0.179, 0.2, negative
F, 0.435, 0.395, 0.105, 0.3635, 0.136, 0.098, 0.13, negative
M, 0.495, 0.395, 0.125, 0.5415, 0.2375, 0.1345, 0.155, negative
F, 0.56, 0.43, 0.15, 0.8825, 0.3465, 0.172, 0.31, negative
F, 0.47, 0.365, 0.105, 0.4205, 0.163, 0.1035, 0.14, negative
M, 0.71, 0.54, 0.165, 1.959, 0.7665, 0.261, 0.78, positive
M, 0.345, 0.255, 0.09, 0.2005, 0.094, 0.0295, 0.063, negative
F, 0.405, 0.325, 0.11, 0.3555, 0.151, 0.063, 0.117, negative
I, 0.28, 0.205, 0.08, 0.127, 0.052, 0.039, 0.042, negative
