@relation Daily_average_cost_of_tKWhe_electry_energy_in_Spain_in_2003
@attribute hidraul real [27881.8, 206035.0]
@attribute nucleal real [114760.0, 187105.0]
@attribute carbon real [33537.0, 234833.0]
@attribute fuel real [0.0, 67986.5]
@attribute gas real [0.0, 84452.2]
@attribute regesp real [5307.0, 16357.0]
@attribute precio real [0.765853, 5.11875]
@data
62703.8, 166242, 218338, 64833.4, 67793.4, 11876, 4.74766
116309, 178601, 155197, 10920.5, 22042.7, 15109, 2.40335
72078.1, 166998, 191881, 29455.1, 71528.8, 11363, 3.04474
68643, 116128, 211931, 52131.5, 77341.9, 14530, 4.09474
63669, 167259, 227493, 51963.9, 63232, 12377, 4.98802
159149, 175571, 103228, 3741.2, 1147.85, 8546, 1.21431
99429.8, 125937, 204207, 50159.4, 53067.9, 11064, 4.33837
92719, 159306, 91061.9, 0, 2458.74, 11800, 1.62473
70348.8, 171131, 214682, 25283.4, 59491.6, 14376, 3.94761
58407.3, 138041, 200249, 34287.9, 75368.9, 14210, 4.19397
86034.1, 166190, 151423, 0, 4296.16, 12080, 2.09413
37298.2, 126262, 192405, 0, 35531.5, 12075, 2.65464
149087, 148350, 144864, 9066.5, 1781.42, 10208, 1.78434
44340.4, 144773, 215065, 17371.9, 72090, 12045, 2.35832
116093, 143695, 192887, 6002.19, 38779.1, 9388, 3.23633
151017, 178514, 187563, 24604.4, 19834.4, 7070, 2.13306
43291.7, 168962, 220257, 33063.7, 71041.5, 12464, 4.21788
63515.7, 154576, 211435, 47265.7, 53683.7, 12412, 4.58351
116506, 155092, 173134, 0, 10872, 11633, 2.40327
105054, 154754, 152361, 44.8934, 6057.11, 11805, 2.05321
42131.6, 119151, 223502, 4451.5, 57740.4, 14366, 3.11447
82773.8, 118264, 190864, 63101.3, 71503.6, 11281, 4.58652
79989.4, 171302, 198078, 51799.3, 72268.1, 10930, 4.03569
175491, 168194, 156442, 18313.2, 21957.7, 10262, 1.54912
38027, 158766, 197959, 7050.11, 43419.4, 13259, 2.91001
85104.8, 174706, 206714, 10804.5, 53137.2, 14231, 2.70608
198435, 180633, 64465.2, 4566.84, 0, 8215, 1.50531
60416.8, 163176, 201606, 36483.9, 60373, 11462, 4.55163
154571, 182180, 33537, 4963.88, 0, 5630, 0.765853
178383, 175790, 126510, 4953.62, 0, 9159, 1.63666
123189, 153571, 108454, 0, 830.934, 11543, 1.8381
73279, 176666, 204627, 19916.5, 54127.8, 12861, 2.96751
145505, 170738, 164125, 5584.4, 5297.98, 15940, 2.07865
65067.3, 149612, 202815, 37766.1, 56342.6, 12263, 4.47261
179183, 175973, 78429.1, 4680.73, 8117.13, 8023, 1.7328
86897.3, 150575, 211594, 43073.2, 59991.9, 10564, 3.93299
