@relation Daily_average_cost_of_tKWhe_electry_energy_in_Spain_in_2003
@attribute hidraul real [27881.8, 206035.0]
@attribute nucleal real [114760.0, 187105.0]
@attribute carbon real [33537.0, 234833.0]
@attribute fuel real [0.0, 67986.5]
@attribute gas real [0.0, 84452.2]
@attribute regesp real [5307.0, 16357.0]
@attribute precio real [0.765853, 5.11875]
@data
30257.2, 164695, 190271, 9677.9, 37311.8, 10855, 2.42621
77131.6, 155512, 211638, 30836, 60790.9, 14926, 3.99721
124565, 143126, 194833, 9320.38, 28780.6, 10879, 2.24424
59928.9, 169654, 208665, 46421.9, 61896.7, 11805, 4.52502
42131.6, 119151, 223502, 4451.5, 57740.4, 14366, 3.11447
169131, 183613, 177847, 23634.3, 19479.5, 6839, 2.01582
57080.7, 156909, 207679, 30063.9, 76711.3, 10821, 3.82169
113736, 170646, 192576, 12966.9, 56314.6, 13701, 2.71846
139186, 179138, 122708, 8628.45, 6884.8, 12382, 2.01027
45975.6, 158850, 205797, 38343, 64153, 12318, 3.88872
62772.2, 144800, 181667, 3807.21, 22768.6, 12297, 2.31615
65067.3, 149612, 202815, 37766.1, 56342.6, 12263, 4.47261
116093, 143695, 192887, 6002.19, 38779.1, 9388, 3.23633
120149, 164574, 117496, 5215.38, 6711.5, 14318, 1.87193
67161.9, 115886, 213105, 44545.1, 83762.7, 14019, 3.90614
143097, 162829, 197361, 37958, 47108.6, 9752, 3.89674
102236, 143928, 179307, 6519.57, 31083.9, 11614, 2.4381
76643, 149349, 155832, 3340.57, 15356.4, 10966, 2.1727
64748.5, 124796, 201102, 53162.9, 54516.9, 12277, 4.40494
92355.1, 118043, 191787, 65886.9, 66510.9, 11166, 4.81924
159795, 168571, 193359, 17329.1, 55332.7, 14084, 2.82287
79989.4, 171302, 198078, 51799.3, 72268.1, 10930, 4.03569
82773.8, 118264, 190864, 63101.3, 71503.6, 11281, 4.58652
77292.6, 123921, 195372, 37311.5, 45609.6, 12652, 3.97595
177753, 168362, 215844, 45232.2, 10296.6, 8079, 4.08083
64015.4, 132247, 222417, 14169.1, 55401.4, 13567, 3.26226
44469.3, 128978, 221285, 25178.4, 77888.2, 14540, 3.6535
154571, 182180, 33537, 4963.88, 0, 5630, 0.765853
133652, 150568, 176316, 0, 13169.9, 11137, 2.47035
77552.2, 155563, 212405, 37301.3, 45520, 10711, 3.68031
137928, 156219, 149833, 4968.03, 14658.2, 11288, 2.09066
109797, 172697, 96596.3, 5803.86, 3245.38, 11801, 2.06576
102000, 131861, 132941, 0, 6841.77, 11912, 2.03694
63515.7, 154576, 211435, 47265.7, 53683.7, 12412, 4.58351
