@relation Daily_average_cost_of_tKWhe_electry_energy_in_Spain_in_2003
@attribute hidraul real [27881.8, 206035.0]
@attribute nucleal real [114760.0, 187105.0]
@attribute carbon real [33537.0, 234833.0]
@attribute fuel real [0.0, 67986.5]
@attribute gas real [0.0, 84452.2]
@attribute regesp real [5307.0, 16357.0]
@attribute precio real [0.765853, 5.11875]
@data
134625, 171156, 182985, 15525.9, 43333.7, 13018, 2.54192
159795, 168571, 193359, 17329.1, 55332.7, 14084, 2.82287
145538, 142311, 179580, 8063.38, 25545, 9371, 2.51787
40478.6, 117937, 198261, 2538.43, 37563.8, 14282, 2.06879
77292.6, 123921, 195372, 37311.5, 45609.6, 12652, 3.97595
123606, 171504, 173861, 0, 6950.29, 10313, 2.06716
72267.5, 168522, 212309, 57546.9, 68727.3, 11502, 4.23803
188784, 160203, 188728, 32188.3, 11956.1, 9031, 3.28635
100556, 165154, 195589, 53110, 58724.4, 11282, 3.88659
112108, 153029, 140531, 0, 6504.34, 10517, 2.18537
86897.3, 150575, 211594, 43073.2, 59991.9, 10564, 3.93299
61937.9, 168412, 203308, 67986.5, 68160.7, 11391, 4.79927
44340.4, 144773, 215065, 17371.9, 72090, 12045, 2.35832
100055, 138597, 109814, 0, 800.86, 11344, 1.67901
73390.9, 166138, 212488, 55017.9, 61546.4, 12365, 3.98641
99442.6, 176457, 207212, 11809.6, 58829.9, 13569, 2.84396
107175, 147041, 180816, 9763.8, 32244.2, 12527, 2.59703
69119.8, 160912, 135130, 9.9189, 1766.62, 11333, 1.72036
74174.5, 152797, 211751, 26115.9, 57083.6, 14617, 3.38268
181733, 154389, 161780, 5963.51, 28095.8, 9328, 1.84554
160345, 166614, 189754, 20854.1, 53318.4, 13523, 2.75503
96675.4, 141761, 162634, 7325.52, 18889.8, 11249, 2.01601
92719, 159306, 91061.9, 0, 2458.74, 11800, 1.62473
162721, 174891, 182417, 16296.3, 31574.6, 15540, 2.12432
142101, 176171, 184799, 18058.9, 41375, 12095, 2.32902
37298.1, 162842, 197343, 13794.5, 35518.3, 12382, 3.10319
130026, 153559, 129564, 0, 12550.3, 10694, 1.96609
83436.9, 124906, 217444, 14176.9, 55775.5, 13836, 3.62312
123534, 145821, 197500, 9583.1, 30969.2, 10562, 2.57566
141067, 172548, 187628, 16570.8, 28467.4, 13169, 2.71989
72009.6, 163803, 200045, 30853.1, 52471.3, 10929, 3.48381
119129, 178550, 219030, 19326.6, 50630, 10413, 3.32405
117456, 149908, 203245, 9612.5, 22077.2, 10494, 2.50617
61310.8, 131559, 221999, 27253, 74899.8, 13427, 4.07909
166691, 169387, 127840, 6266.98, 3069.61, 14254, 1.96399
55640.1, 181868, 162385, 3944.69, 20227.8, 13991, 2.38016
51657.7, 148988, 229234, 19930.4, 65548.4, 11835, 4.05026
76643, 149349, 155832, 3340.57, 15356.4, 10966, 2.1727
57257.5, 118513, 217288, 50405, 78925.1, 14105, 4.15444
126120, 149154, 199565, 6495.41, 22143.8, 11638, 2.21261
60416.8, 163176, 201606, 36483.9, 60373, 11462, 4.55163
49802.3, 167906, 211070, 57442.3, 69723.9, 11303, 4.44441
42686.6, 168031, 176346, 4755.84, 20725.3, 10125, 1.88338
178383, 175790, 126510, 4953.62, 0, 9159, 1.63666
151905, 140613, 170505, 5801.43, 27574.9, 9431, 3.00451
105054, 154754, 152361, 44.8934, 6057.11, 11805, 2.05321
47754.1, 167997, 211844, 60663.6, 67510.9, 11230, 4.20809
80317.3, 155685, 215776, 17651.7, 55888.7, 14400, 3.19168
77360.1, 114760, 215188, 53279.7, 78219.7, 14507, 4.99235
66003.2, 116531, 217574, 42111.6, 75585.7, 13833, 3.60649
121900, 139865, 179253, 5901.94, 41733.4, 10758, 2.83681
54706.1, 166132, 220491, 54348, 72922.6, 11669, 4.06552
156817, 174604, 188411, 24222.8, 20350.5, 5307, 2.1768
57080.7, 156909, 207679, 30063.9, 76711.3, 10821, 3.82169
