@relation dee
@attribute Hydroelectric real[27881.8,206035.0]
@attribute Nuclear real[114760.0,187105.0]
@attribute Coal real[33537.0,234833.0]
@attribute Fuel real[0.0,67986.5]
@attribute Gas real[0.0,84452.2]
@attribute Special real[5307.0,16357.0]
@attribute Consume real[0.765853,5.11875]
@inputs Hydroelectric, Nuclear, Coal, Fuel, Gas, Special
@outputs Consume
@data
154571.0, 182180.0, 33537.0, 4963.88, 0.0, 5630.0, 0.765853
179183.0, 175973.0, 78429.1, 4680.73, 8117.13, 8023.0, 1.7328
206035.0, 186774.0, 79129.5, 4342.43, 5715.18, 8159.0, 1.5835
198435.0, 180633.0, 64465.2, 4566.84, 0.0, 8215.0, 1.50531
191691.0, 177717.0, 56528.3, 6157.88, 0.0, 8324.0, 1.61709
199096.0, 168691.0, 126091.0, 13155.7, 24428.0, 8525.0, 1.87965
191098.0, 169601.0, 171592.0, 24518.3, 33458.4, 8875.0, 2.21565
190729.0, 176396.0, 170338.0, 27696.3, 28071.3, 8986.0, 2.27647
187945.0, 179224.0, 140881.0, 5208.74, 16628.2, 8826.0, 1.87444
178383.0, 175790.0, 126510.0, 4953.62, 0.0, 9159.0, 1.63666
180454.0, 162188.0, 211183.0, 55388.0, 9908.5, 8269.0, 3.67201
177753.0, 168362.0, 215844.0, 45232.2, 10296.6, 8079.0, 4.08083
170242.0, 176367.0, 201165.0, 37503.1, 10862.8, 7700.0, 3.48928
145519.0, 175426.0, 177686.0, 1568.88, 11043.8, 7347.0, 1.76612
144906.0, 180711.0, 136896.0, 1453.89, 0.0, 7449.0, 1.3288
151017.0, 178514.0, 187563.0, 24604.4, 19834.4, 7070.0, 2.13306
156817.0, 174604.0, 188411.0, 24222.8, 20350.5, 5307.0, 2.1768
169131.0, 183613.0, 177847.0, 23634.3, 19479.5, 6839.0, 2.01582
163063.0, 177445.0, 132722.0, 6257.35, 11992.7, 7475.0, 1.61606
159149.0, 175571.0, 103228.0, 3741.2, 1147.85, 8546.0, 1.21431
172992.0, 187105.0, 152094.0, 17147.2, 16824.6, 7362.0, 3.03418
170866.0, 180046.0, 156710.0, 16183.3, 17754.0, 7808.0, 1.1095
183148.0, 149012.0, 175547.0, 13843.4, 21271.8, 8307.0, 1.96111
172546.0, 150002.0, 179549.0, 28671.3, 28052.5, 9787.0, 3.28301
162730.0, 146965.0, 165217.0, 12339.5, 13109.5, 10149.0, 2.28642
149087.0, 148350.0, 144864.0, 9066.5, 1781.42, 10208.0, 1.78434
173086.0, 161469.0, 175422.0, 24027.3, 24311.6, 10603.0, 2.95668
166952.0, 168409.0, 170413.0, 23254.4, 26678.5, 10218.0, 1.9168
168903.0, 172762.0, 172683.0, 25134.6, 27476.4, 10078.0, 2.19677
175066.0, 172162.0, 173109.0, 21701.9, 29528.9, 9046.0, 2.78725
164649.0, 166545.0, 154624.0, 9638.12, 13303.7, 10234.0, 2.17373
149702.0, 175063.0, 138467.0, 5525.03, 11007.9, 10714.0, 1.93015
170380.0, 173539.0, 171161.0, 16252.8, 24674.2, 10888.0, 2.20589
163292.0, 169474.0, 182789.0, 20309.6, 32348.7, 10957.0, 2.56002
155727.0, 172762.0, 185218.0, 17813.6, 34197.5, 10542.0, 2.03545
154110.0, 171142.0, 190515.0, 17831.4, 36734.9, 10583.0, 2.33082
158758.0, 172485.0, 195032.0, 12306.2, 37469.8, 9791.0, 2.47207
123606.0, 171504.0, 173861.0, 0.0, 6950.29, 10313.0, 2.06716
145837.0, 171697.0, 200216.0, 18384.0, 31216.3, 9993.0, 4.12236
