@relation dee
@attribute Hydroelectric real[27881.8,206035.0]
@attribute Nuclear real[114760.0,187105.0]
@attribute Coal real[33537.0,234833.0]
@attribute Fuel real[0.0,67986.5]
@attribute Gas real[0.0,84452.2]
@attribute Special real[5307.0,16357.0]
@attribute Consume real[0.765853,5.11875]
@inputs Hydroelectric, Nuclear, Coal, Fuel, Gas, Special
@outputs Consume
@data
154571.0, 182180.0, 33537.0, 4963.88, 0.0, 5630.0, 0.765853
179183.0, 175973.0, 78429.1, 4680.73, 8117.13, 8023.0, 1.7328
206035.0, 186774.0, 79129.5, 4342.43, 5715.18, 8159.0, 1.5835
198435.0, 180633.0, 64465.2, 4566.84, 0.0, 8215.0, 1.50531
187029.0, 171382.0, 51913.4, 5342.54, 0.0, 8346.0, 0.955205
191691.0, 177717.0, 56528.3, 6157.88, 0.0, 8324.0, 1.61709
199096.0, 168691.0, 126091.0, 13155.7, 24428.0, 8525.0, 1.87965
196005.0, 174005.0, 163366.0, 18572.0, 35587.1, 8751.0, 2.17647
190729.0, 176396.0, 170338.0, 27696.3, 28071.3, 8986.0, 2.27647
187945.0, 179224.0, 140881.0, 5208.74, 16628.2, 8826.0, 1.87444
178383.0, 175790.0, 126510.0, 4953.62, 0.0, 9159.0, 1.63666
188784.0, 160203.0, 188728.0, 32188.3, 11956.1, 9031.0, 3.28635
177317.0, 153273.0, 202543.0, 57812.1, 7251.62, 8577.0, 2.34107
180454.0, 162188.0, 211183.0, 55388.0, 9908.5, 8269.0, 3.67201
170242.0, 176367.0, 201165.0, 37503.1, 10862.8, 7700.0, 3.48928
145519.0, 175426.0, 177686.0, 1568.88, 11043.8, 7347.0, 1.76612
144906.0, 180711.0, 136896.0, 1453.89, 0.0, 7449.0, 1.3288
158115.0, 175634.0, 181930.0, 16199.3, 19897.6, 7652.0, 1.90918
151017.0, 178514.0, 187563.0, 24604.4, 19834.4, 7070.0, 2.13306
169131.0, 183613.0, 177847.0, 23634.3, 19479.5, 6839.0, 2.01582
173246.0, 178497.0, 170487.0, 16439.5, 18514.0, 6532.0, 1.97025
163063.0, 177445.0, 132722.0, 6257.35, 11992.7, 7475.0, 1.61606
172992.0, 187105.0, 152094.0, 17147.2, 16824.6, 7362.0, 3.03418
180700.0, 165416.0, 151031.0, 14308.8, 18351.4, 7845.0, 1.84856
172546.0, 150002.0, 179549.0, 28671.3, 28052.5, 9787.0, 3.28301
149087.0, 148350.0, 144864.0, 9066.5, 1781.42, 10208.0, 1.78434
173086.0, 161469.0, 175422.0, 24027.3, 24311.6, 10603.0, 2.95668
175066.0, 172162.0, 173109.0, 21701.9, 29528.9, 9046.0, 2.78725
177566.0, 168075.0, 179508.0, 19331.8, 33001.3, 9780.0, 2.48464
164649.0, 166545.0, 154624.0, 9638.12, 13303.7, 10234.0, 2.17373
149702.0, 175063.0, 138467.0, 5525.03, 11007.9, 10714.0, 1.93015
170380.0, 173539.0, 171161.0, 16252.8, 24674.2, 10888.0, 2.20589
155727.0, 172762.0, 185218.0, 17813.6, 34197.5, 10542.0, 2.03545
154110.0, 171142.0, 190515.0, 17831.4, 36734.9, 10583.0, 2.33082
140921.0, 168626.0, 177857.0, 0.0, 18967.2, 10408.0, 1.96765
123606.0, 171504.0, 173861.0, 0.0, 6950.29, 10313.0, 2.06716
145837.0, 171697.0, 200216.0, 18384.0, 31216.3, 9993.0, 4.12236
134311.0, 163733.0, 201342.0, 36983.3, 53541.4, 10123.0, 3.90895
127643.0, 172389.0, 221011.0, 33218.1, 52620.7, 9850.0, 4.02099
