@relation dee
@attribute Hydroelectric real[27881.8,206035.0]
@attribute Nuclear real[114760.0,187105.0]
@attribute Coal real[33537.0,234833.0]
@attribute Fuel real[0.0,67986.5]
@attribute Gas real[0.0,84452.2]
@attribute Special real[5307.0,16357.0]
@attribute Consume real[0.765853,5.11875]
@inputs Hydroelectric, Nuclear, Coal, Fuel, Gas, Special
@outputs Consume
@data
179183.0, 175973.0, 78429.1, 4680.73, 8117.13, 8023.0, 1.7328
206035.0, 186774.0, 79129.5, 4342.43, 5715.18, 8159.0, 1.5835
198435.0, 180633.0, 64465.2, 4566.84, 0.0, 8215.0, 1.50531
187029.0, 171382.0, 51913.4, 5342.54, 0.0, 8346.0, 0.955205
199096.0, 168691.0, 126091.0, 13155.7, 24428.0, 8525.0, 1.87965
196005.0, 174005.0, 163366.0, 18572.0, 35587.1, 8751.0, 2.17647
191098.0, 169601.0, 171592.0, 24518.3, 33458.4, 8875.0, 2.21565
190729.0, 176396.0, 170338.0, 27696.3, 28071.3, 8986.0, 2.27647
178383.0, 175790.0, 126510.0, 4953.62, 0.0, 9159.0, 1.63666
188784.0, 160203.0, 188728.0, 32188.3, 11956.1, 9031.0, 3.28635
177317.0, 153273.0, 202543.0, 57812.1, 7251.62, 8577.0, 2.34107
180454.0, 162188.0, 211183.0, 55388.0, 9908.5, 8269.0, 3.67201
177753.0, 168362.0, 215844.0, 45232.2, 10296.6, 8079.0, 4.08083
145519.0, 175426.0, 177686.0, 1568.88, 11043.8, 7347.0, 1.76612
158115.0, 175634.0, 181930.0, 16199.3, 19897.6, 7652.0, 1.90918
156817.0, 174604.0, 188411.0, 24222.8, 20350.5, 5307.0, 2.1768
169131.0, 183613.0, 177847.0, 23634.3, 19479.5, 6839.0, 2.01582
173246.0, 178497.0, 170487.0, 16439.5, 18514.0, 6532.0, 1.97025
159149.0, 175571.0, 103228.0, 3741.2, 1147.85, 8546.0, 1.21431
172992.0, 187105.0, 152094.0, 17147.2, 16824.6, 7362.0, 3.03418
170866.0, 180046.0, 156710.0, 16183.3, 17754.0, 7808.0, 1.1095
180700.0, 165416.0, 151031.0, 14308.8, 18351.4, 7845.0, 1.84856
183148.0, 149012.0, 175547.0, 13843.4, 21271.8, 8307.0, 1.96111
172546.0, 150002.0, 179549.0, 28671.3, 28052.5, 9787.0, 3.28301
162730.0, 146965.0, 165217.0, 12339.5, 13109.5, 10149.0, 2.28642
173086.0, 161469.0, 175422.0, 24027.3, 24311.6, 10603.0, 2.95668
