@relation ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site {cp,im,imS,imL,imU,om,omL,pp, unlabeled}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Site
@data
76.0, 73.0, 48.0, 5.0, 44.0, 39.0, 39.0, pp
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, cp
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, cp
57.0, 38.0, 48.0, 5.0, 6.0, 49.0, 33.0, imU
65.0, 47.0, 48.0, 5.0, 59.0, 3.0, 4.0, cp
37.0, 51.99999999999999, 48.0, 5.0, 42.0, 42.0, 36.0, cp
73.0, 26.0, 48.0, 5.0, 57.0, 75.0, 78.0, imU
34.0, 51.0, 48.0, 5.0, 67.0, 9.0, 9.0, im
11.0, 5.0, 48.0, 5.0, 58.0, 72.0, 68.0, im
4.0, 29.0, 48.0, 5.0, 42.0, 35.0, 44.0, cp
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, cp
36.0, 47.0, 48.0, 5.0, 51.0, 69.0, 72.0, im
42.0, 4.0, 48.0, 5.0, 56.0, 18.0, 3.0, cp
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, im
68.0, 49.0, 1.0, 5.0, 62.0, 55.00000000000001, 28.0, omL
69.0, 43.0, 48.0, 5.0, 59.0, 74.0, 77.0, imU
31.0, 23.000000000000004, 48.0, 5.0, 73.0, 5.0, 14.0, cp
7.0, 64.0, 48.0, 5.0, 47.0, 51.0, 47.0, pp
46.99999999999999, 59.0, 48.0, 5.0, 52.0, 76.0, 79.0, im
44.0, 51.99999999999999, 48.0, 5.0, 43.0, 47.0, 53.99999999999999, im
24.0, 43.0, 48.0, 5.0, 54.0, 51.99999999999999, 58.99999999999999, cp
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, cp
71.0, 57.0, 48.0, 5.0, 48.0, 35.0, 32.0, pp
39.0, 41.0, 48.0, 5.0, 52.0, 72.0, 75.0, im
79.0, 54.0, 48.0, 5.0, 5.0, 66.0, 68.0, imU
33.0, 37.0, 48.0, 5.0, 46.0, 65.0, 69.0, im
62.99999999999999, 65.0, 48.0, 5.0, 39.0, 44.0, 35.0, pp
46.99999999999999, 47.0, 48.0, 5.0, 22.0, 16.0, 26.000000000000004, cp
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, cp
18.0, 3.0, 48.0, 5.0, 46.0, 24.0, 35.0, cp
5.0, 51.0, 48.0, 5.0, 27.0, 23.0, 34.0, cp
69.0, 59.0, 48.0, 5.0, 46.0, 44.0, 52.00000000000001, pp
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, cp
67.0, 81.0, 48.0, 5.0, 25.000000000000004, 42.0, 25.0, pp
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, cp
46.99999999999999, 28.0, 48.0, 5.0, 56.0, 2.0, 25.0, cp
23.000000000000004, 48.0, 48.0, 5.0, 59.0, 88.0, 89.0, im
67.0, 61.00000000000001, 48.0, 5.0, 51.0, 37.0, 38.0, pp
68.0, 78.0, 48.0, 5.0, 43.0, 44.0, 42.0, pp
58.99999999999999, 61.00000000000001, 48.0, 5.0, 42.0, 42.0, 37.0, pp
81.0, 53.00000000000001, 48.0, 5.0, 57.0, 87.0, 88.0, imU
62.99999999999999, 49.0, 48.0, 5.0, 79.0, 45.0, 28.0, om
35.0, 51.0, 48.0, 5.0, 61.00000000000001, 71.0, 74.0, im
62.99999999999999, 54.0, 48.0, 5.0, 65.0, 79.0, 81.0, im
64.0, 66.0, 48.0, 5.0, 41.0, 39.0, 2.0, pp
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, cp
35.0, 34.0, 48.0, 5.0, 46.0, 3.0, 26.999999999999996, cp
7.0, 53.00000000000001, 48.0, 5.0, 7.0, 86.0, 87.0, imU
24.0, 41.0, 48.0, 5.0, 48.99999999999999, 23.0, 34.0, cp
17.0, 39.0, 48.0, 5.0, 53.0, 3.0, 39.0, cp
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 26.999999999999996, cp
50.99999999999999, 49.0, 48.0, 5.0, 53.0, 13.999999999999998, 26.000000000000004, cp
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, cp
22.0, 36.0, 48.0, 5.0, 35.0, 39.0, 47.0, cp
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, cp
78.0, 68.0, 48.0, 5.0, 83.0, 4.0, 29.0, om
64.0, 84.0, 48.0, 5.0, 37.0, 45.0, 4.0, pp
75.0, 37.0, 48.0, 5.0, 64.0, 7.0, 74.0, imU
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, cp
54.0, 57.0, 48.0, 5.0, 56.0, 81.0, 83.0, im
50.99999999999999, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, cp
46.99999999999999, 29.0, 48.0, 5.0, 51.0, 33.0, 43.0, cp
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, cp
71.0, 71.0, 48.0, 5.0, 68.0, 43.0, 36.0, om
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.00000000000001, cp
64.0, 78.0, 48.0, 5.0, 5.0, 36.0, 38.0, pp
61.0, 6.0, 48.0, 5.0, 44.0, 39.0, 38.0, pp
44.0, 35.0, 48.0, 5.0, 55.0, 55.00000000000001, 61.0, cp
72.0, 46.0, 48.0, 5.0, 51.0, 66.0, 7.0, im
46.00000000000001, 59.0, 48.0, 5.0, 36.0, 76.0, 23.0, im
85.0, 53.00000000000001, 48.0, 5.0, 53.0, 51.99999999999999, 35.0, imS
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, cp
24.0, 43.0, 48.0, 5.0, 37.0, 28.000000000000004, 38.0, cp
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, cp
27.0, 3.0, 48.0, 5.0, 71.0, 28.000000000000004, 39.0, cp
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.00000000000001, cp
78.0, 33.0, 48.0, 5.0, 57.0, 77.0, 79.0, imU
71.0, 4.0, 48.0, 5.0, 71.0, 7.0, 74.0, im
44.0, 51.0, 48.0, 5.0, 47.0, 26.0, 36.0, cp
29.0, 51.99999999999999, 48.0, 5.0, 42.0, 29.0, 39.0, cp
7.0, 4.0, 48.0, 5.0, 56.0, 86.0, 83.0, im
6.0, 5.0, 1.0, 5.0, 54.0, 77.0, 8.0, im
31.0, 47.0, 48.0, 5.0, 29.0, 28.000000000000004, 39.0, cp
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, cp
3.0, 45.00000000000001, 48.0, 5.0, 36.0, 21.0, 32.0, cp
68.0, 67.0, 48.0, 5.0, 48.99999999999999, 4.0, 34.0, pp
62.99999999999999, 49.0, 48.0, 5.0, 54.0, 76.0, 79.0, imS
52.0, 39.0, 48.0, 5.0, 65.0, 71.0, 73.0, im
25.0, 26.0, 48.0, 5.0, 39.0, 32.0, 42.0, cp
29.0, 47.0, 48.0, 5.0, 41.0, 23.0, 34.0, cp
62.0, 42.0, 48.0, 5.0, 58.0, 79.0, 81.0, imU
24.0, 35.0, 48.0, 5.0, 31.0, 19.0, 31.0, cp
36.0, 54.0, 48.0, 5.0, 41.0, 38.0, 46.0, cp
31.0, 44.0, 48.0, 5.0, 5.0, 79.0, 82.0, im
62.99999999999999, 1.0, 48.0, 5.0, 35.0, 51.0, 49.0, pp
34.0, 49.0, 48.0, 5.0, 58.0, 85.0, 8.0, im
7.0, 71.0, 48.0, 5.0, 42.0, 84.0, 85.0, pp
61.0, 47.0, 48.0, 5.0, 0.0, 8.0, 32.0, im
66.0, 49.0, 1.0, 5.0, 54.0, 56.0, 36.0, omL
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, cp
62.99999999999999, 69.0, 48.0, 5.0, 65.0, 41.0, 28.0, om
42.0, 24.0, 48.0, 5.0, 57.0, 26.999999999999996, 37.0, cp
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, cp
