@relation ecoli
@attribute a1 real [0.0, 89.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a4 real [1.0, 5.0]
@attribute a5 real [0.0, 88.0]
@attribute a6 real [1.0, 94.0]
@attribute a7 real [0.0, 99.0]
@attribute class {cp, im, imS, imL, imU, om, omL, pp}
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs class
@data
61.0, 45.0, 48.0, 5.0, 48.0, 35.0, 41.0, cp
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 27.0, cp
22.0, 36.0, 48.0, 5.0, 35.0, 39.0, 47.0, cp
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, cp
51.0, 37.0, 48.0, 5.0, 35.0, 36.0, 45.0, cp
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, cp
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, cp
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, cp
36.0, 56.0, 48.0, 5.0, 43.0, 45.0, 53.0, cp
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, cp
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, cp
25.0, 51.0, 48.0, 5.0, 37.0, 42.0, 5.0, cp
17.0, 39.0, 48.0, 5.0, 53.0, 3.0, 39.0, cp
27.0, 3.0, 48.0, 5.0, 71.0, 28.0, 39.0, cp
34.0, 49.0, 48.0, 5.0, 58.0, 85.0, 8.0, im
27.0, 35.0, 48.0, 5.0, 51.0, 77.0, 79.0, im
54.0, 49.0, 48.0, 5.0, 4.0, 87.0, 88.0, im
12.0, 43.0, 48.0, 5.0, 63.0, 7.0, 74.0, im
59.0, 56.0, 48.0, 5.0, 55.0, 8.0, 82.0, im
51.0, 4.0, 48.0, 5.0, 57.0, 62.0, 67.0, im
36.0, 47.0, 48.0, 5.0, 51.0, 69.0, 72.0, im
36.0, 45.0, 48.0, 5.0, 38.0, 79.0, 17.0, im
64.0, 46.0, 48.0, 5.0, 48.0, 73.0, 76.0, imU
7.0, 53.0, 48.0, 5.0, 7.0, 86.0, 87.0, imU
81.0, 52.0, 48.0, 5.0, 57.0, 78.0, 8.0, imU
84.0, 54.0, 48.0, 5.0, 75.0, 92.0, 7.0, imU
63.0, 69.0, 48.0, 5.0, 65.0, 41.0, 28.0, om
69.0, 59.0, 48.0, 5.0, 77.0, 39.0, 21.0, om
7.0, 64.0, 48.0, 5.0, 47.0, 51.0, 47.0, pp
76.0, 73.0, 48.0, 5.0, 44.0, 39.0, 39.0, pp
69.0, 65.0, 48.0, 5.0, 63.0, 48.0, 41.0, pp
74.0, 56.0, 48.0, 5.0, 47.0, 68.0, 3.0, pp
71.0, 57.0, 48.0, 5.0, 48.0, 35.0, 32.0, pp
59.0, 61.0, 48.0, 5.0, 42.0, 42.0, 37.0, pp
