@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
34.0, 42.0, 48.0, 5.0, 41.0, 34.0, 43.0, cp
24.0, 43.0, 48.0, 5.0, 54.0, 52.0, 59.0, cp
25.0, 26.0, 48.0, 5.0, 39.0, 32.0, 42.0, cp
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, cp
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, cp
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, cp
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, cp
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, cp
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, cp
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, cp
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, cp
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, cp
21.0, 51.0, 48.0, 5.0, 5.0, 32.0, 41.0, cp
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, cp
54.0, 57.0, 48.0, 5.0, 56.0, 81.0, 83.0, im
55.0, 47.0, 48.0, 5.0, 57.0, 78.0, 8.0, im
48.0, 49.0, 48.0, 5.0, 52.0, 77.0, 71.0, im
12.0, 67.0, 48.0, 5.0, 74.0, 58.0, 63.0, im
34.0, 67.0, 48.0, 5.0, 52.0, 76.0, 79.0, im
71.0, 4.0, 48.0, 5.0, 71.0, 7.0, 74.0, im
74.0, 7.0, 48.0, 5.0, 66.0, 65.0, 69.0, im
31.0, 5.0, 48.0, 5.0, 57.0, 84.0, 85.0, im
64.0, 46.0, 48.0, 5.0, 48.0, 73.0, 76.0, imU
73.0, 26.0, 48.0, 5.0, 57.0, 75.0, 78.0, imU
58.0, 6.0, 48.0, 5.0, 59.0, 73.0, 76.0, imU
67.0, 84.0, 48.0, 5.0, 74.0, 54.0, 37.0, om
77.0, 57.0, 48.0, 5.0, 88.0, 53.0, 2.0, om
71.0, 71.0, 48.0, 5.0, 4.0, 54.0, 39.0, pp
69.0, 65.0, 48.0, 5.0, 63.0, 48.0, 41.0, pp
74.0, 82.0, 48.0, 5.0, 49.0, 49.0, 41.0, pp
74.0, 56.0, 48.0, 5.0, 47.0, 68.0, 3.0, pp
63.0, 8.0, 48.0, 5.0, 46.0, 31.0, 29.0, pp
@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
34.0, 42.0, 48.0, 5.0, 41.0, 34.0, 43.0, cp
24.0, 43.0, 48.0, 5.0, 54.0, 52.0, 59.0, cp
25.0, 26.0, 48.0, 5.0, 39.0, 32.0, 42.0, cp
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, cp
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, cp
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, cp
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, cp
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, cp
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, cp
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, cp
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, cp
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, cp
21.0, 51.0, 48.0, 5.0, 5.0, 32.0, 41.0, cp
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, cp
54.0, 57.0, 48.0, 5.0, 56.0, 81.0, 83.0, im
55.0, 47.0, 48.0, 5.0, 57.0, 78.0, 8.0, im
48.0, 49.0, 48.0, 5.0, 52.0, 77.0, 71.0, im
12.0, 67.0, 48.0, 5.0, 74.0, 58.0, 63.0, im
34.0, 67.0, 48.0, 5.0, 52.0, 76.0, 79.0, im
71.0, 4.0, 48.0, 5.0, 71.0, 7.0, 74.0, im
74.0, 7.0, 48.0, 5.0, 66.0, 65.0, 69.0, im
31.0, 5.0, 48.0, 5.0, 57.0, 84.0, 85.0, im
64.0, 46.0, 48.0, 5.0, 48.0, 73.0, 76.0, imU
73.0, 26.0, 48.0, 5.0, 57.0, 75.0, 78.0, imU
58.0, 6.0, 48.0, 5.0, 59.0, 73.0, 76.0, imU
67.0, 84.0, 48.0, 5.0, 74.0, 54.0, 37.0, om
77.0, 57.0, 48.0, 5.0, 88.0, 53.0, 2.0, om
71.0, 71.0, 48.0, 5.0, 4.0, 54.0, 39.0, pp
69.0, 65.0, 48.0, 5.0, 63.0, 48.0, 41.0, pp
74.0, 82.0, 48.0, 5.0, 49.0, 49.0, 41.0, pp
74.0, 56.0, 48.0, 5.0, 47.0, 68.0, 3.0, pp
63.0, 8.0, 48.0, 5.0, 46.0, 31.0, 29.0, pp
