@relation ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@data
49.0,29.0,48.0,5.0,56.0,24.0,35.0,cp
7.0,4.0,48.0,5.0,54.0,35.0,44.0,cp
56.0,4.0,48.0,5.0,49.0,37.0,46.0,cp
59.0,49.0,48.0,5.0,52.0,45.0,36.0,cp
23.0,32.0,48.0,5.0,55.0,25.0,35.0,cp
67.0,39.0,48.0,5.0,36.0,38.0,46.0,cp
29.0,28.0,48.0,5.0,44.0,23.0,34.0,cp
21.0,34.0,48.0,5.0,51.0,28.0,39.0,cp
2.0,44.0,48.0,5.0,46.0,51.0,57.0,cp
42.0,4.0,48.0,5.0,56.0,18.0,3.0,cp
42.0,24.0,48.0,5.0,57.0,27.0,37.0,cp
25.0,48.0,48.0,5.0,44.0,17.0,29.0,cp
39.0,32.0,48.0,5.0,46.0,24.0,35.0,cp
51.0,5.0,48.0,5.0,46.0,32.0,35.0,cp
22.0,43.0,48.0,5.0,48.0,16.0,28.0,cp
25.0,4.0,48.0,5.0,46.0,44.0,52.0,cp
34.0,45.0,48.0,5.0,38.0,24.0,35.0,cp
44.0,27.0,48.0,5.0,55.0,52.0,58.0,cp
23.0,4.0,48.0,5.0,39.0,28.0,38.0,cp
41.0,57.0,48.0,5.0,39.0,21.0,32.0,cp
4.0,45.0,48.0,5.0,38.0,22.0,0.0,cp
31.0,23.0,48.0,5.0,73.0,5.0,14.0,cp
51.0,54.0,48.0,5.0,41.0,34.0,43.0,cp
3.0,16.0,48.0,5.0,56.0,11.0,23.0,cp
36.0,39.0,48.0,5.0,48.0,22.0,23.0,cp
29.0,37.0,48.0,5.0,48.0,44.0,52.0,cp
25.0,4.0,48.0,5.0,47.0,33.0,42.0,cp
21.0,51.0,48.0,5.0,5.0,32.0,41.0,cp
43.0,37.0,48.0,5.0,53.0,35.0,44.0,cp
43.0,39.0,48.0,5.0,47.0,31.0,41.0,cp
53.0,38.0,48.0,5.0,44.0,26.0,36.0,cp
34.0,33.0,48.0,5.0,38.0,35.0,44.0,cp
56.0,51.0,48.0,5.0,34.0,37.0,46.0,cp
4.0,29.0,48.0,5.0,42.0,35.0,44.0,cp
24.0,35.0,48.0,5.0,31.0,19.0,31.0,cp
36.0,54.0,48.0,5.0,41.0,38.0,46.0,cp
29.0,52.0,48.0,5.0,42.0,29.0,39.0,cp
65.0,47.0,48.0,5.0,59.0,3.0,4.0,cp
32.0,42.0,48.0,5.0,35.0,28.0,38.0,cp
38.0,46.0,48.0,5.0,48.0,22.0,29.0,cp
33.0,45.0,48.0,5.0,52.0,32.0,41.0,cp
3.0,37.0,48.0,5.0,59.0,41.0,49.0,cp
4.0,5.0,48.0,5.0,45.0,39.0,47.0,cp
28.0,38.0,48.0,5.0,5.0,33.0,42.0,cp
61.0,45.0,48.0,5.0,48.0,35.0,41.0,cp
17.0,38.0,48.0,5.0,45.0,42.0,5.0,cp
44.0,35.0,48.0,5.0,55.0,55.0,61.0,cp
43.0,4.0,48.0,5.0,39.0,28.0,39.0,cp
42.0,35.0,48.0,5.0,58.0,15.0,27.0,cp
23.0,33.0,48.0,5.0,43.0,33.0,43.0,cp
37.0,52.0,48.0,5.0,42.0,42.0,36.0,cp
29.0,3.0,48.0,5.0,45.0,3.0,17.0,cp
22.0,36.0,48.0,5.0,35.0,39.0,47.0,cp
23.0,58.0,48.0,5.0,37.0,53.0,59.0,cp
47.0,47.0,48.0,5.0,22.0,16.0,26.0,cp
54.0,47.0,48.0,5.0,28.0,33.0,42.0,cp
51.0,37.0,48.0,5.0,35.0,36.0,45.0,cp
4.0,35.0,48.0,5.0,45.0,33.0,42.0,cp
44.0,34.0,48.0,5.0,3.0,33.0,43.0,cp
42.0,38.0,48.0,5.0,54.0,34.0,43.0,cp
44.0,56.0,48.0,5.0,5.0,46.0,54.0,cp
52.0,36.0,48.0,5.0,41.0,28.0,38.0,cp
36.0,41.0,48.0,5.0,48.0,47.0,54.0,cp
18.0,3.0,48.0,5.0,46.0,24.0,35.0,cp
47.0,29.0,48.0,5.0,51.0,33.0,43.0,cp
24.0,43.0,48.0,5.0,54.0,52.0,59.0,cp
25.0,37.0,48.0,5.0,41.0,33.0,42.0,cp
52.0,57.0,48.0,5.0,42.0,47.0,54.0,cp
25.0,37.0,48.0,5.0,43.0,26.0,36.0,cp
35.0,48.0,48.0,5.0,56.0,4.0,48.0,cp
26.0,26.0,48.0,5.0,34.0,25.0,35.0,cp
44.0,51.0,48.0,5.0,47.0,26.0,36.0,cp
37.0,5.0,48.0,5.0,42.0,36.0,45.0,cp
44.0,42.0,48.0,5.0,42.0,25.0,2.0,cp
24.0,43.0,48.0,5.0,37.0,28.0,38.0,cp
42.0,3.0,48.0,5.0,48.0,26.0,36.0,cp
48.0,42.0,48.0,5.0,45.0,25.0,35.0,cp
41.0,48.0,48.0,5.0,51.0,44.0,51.0,cp
44.0,28.0,48.0,5.0,43.0,27.0,37.0,cp
29.0,41.0,48.0,5.0,48.0,38.0,46.0,cp
34.0,28.0,48.0,5.0,41.0,35.0,44.0,cp
41.0,43.0,48.0,5.0,45.0,31.0,41.0,cp
29.0,47.0,48.0,5.0,41.0,23.0,34.0,cp
34.0,55.0,48.0,5.0,58.0,31.0,41.0,cp
36.0,56.0,48.0,5.0,43.0,45.0,53.0,cp
4.0,46.0,48.0,5.0,52.0,49.0,56.0,cp
5.0,49.0,48.0,5.0,49.0,46.0,53.0,cp
52.0,44.0,48.0,5.0,37.0,36.0,42.0,cp
