@relation ecoli2
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, negative
0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, negative
0.4, 0.45, 0.48, 0.5, 0.38, 0.22, 0.0, negative
0.29, 0.37, 0.48, 0.5, 0.48, 0.44, 0.52, negative
0.21, 0.51, 0.48, 0.5, 0.5, 0.32, 0.41, negative
0.65, 0.47, 0.48, 0.5, 0.59, 0.3, 0.4, negative
0.38, 0.46, 0.48, 0.5, 0.48, 0.22, 0.29, negative
0.33, 0.45, 0.48, 0.5, 0.52, 0.32, 0.41, negative
0.3, 0.37, 0.48, 0.5, 0.59, 0.41, 0.49, negative
0.51, 0.37, 0.48, 0.5, 0.35, 0.36, 0.45, negative
0.44, 0.34, 0.48, 0.5, 0.3, 0.33, 0.43, negative
0.24, 0.43, 0.48, 0.5, 0.54, 0.52, 0.59, negative
0.5, 0.51, 0.48, 0.5, 0.27, 0.23, 0.34, negative
0.41, 0.43, 0.48, 0.5, 0.5, 0.24, 0.25, negative
0.3, 0.45, 0.48, 0.5, 0.36, 0.21, 0.32, negative
0.31, 0.47, 0.48, 0.5, 0.29, 0.28, 0.39, negative
0.65, 0.55, 0.48, 0.5, 0.34, 0.37, 0.28, negative
0.35, 0.34, 0.48, 0.5, 0.46, 0.3, 0.27, negative
0.38, 0.44, 0.48, 0.5, 0.43, 0.2, 0.31, negative
0.34, 0.42, 0.48, 0.5, 0.41, 0.34, 0.43, negative
0.51, 0.49, 0.48, 0.5, 0.53, 0.14, 0.26, negative
0.37, 0.44, 0.48, 0.5, 0.42, 0.39, 0.47, negative
0.39, 0.31, 0.48, 0.5, 0.38, 0.34, 0.43, negative
0.3, 0.44, 0.48, 0.5, 0.49, 0.22, 0.33, negative
0.4, 0.41, 0.48, 0.5, 0.55, 0.22, 0.33, negative
0.06, 0.61, 0.48, 0.5, 0.49, 0.92, 0.37, negative
0.4, 0.5, 0.48, 0.5, 0.65, 0.82, 0.84, negative
0.72, 0.46, 0.48, 0.5, 0.51, 0.66, 0.7, negative
0.71, 0.4, 0.48, 0.5, 0.71, 0.7, 0.74, negative
0.66, 0.53, 0.48, 0.5, 0.59, 0.66, 0.66, negative
0.83, 0.37, 0.48, 0.5, 0.61, 0.71, 0.74, negative
0.2, 0.46, 0.48, 0.5, 0.57, 0.78, 0.81, negative
0.12, 0.43, 0.48, 0.5, 0.63, 0.7, 0.74, negative
0.6, 0.46, 0.48, 0.5, 0.45, 0.81, 0.83, negative
0.58, 0.55, 0.48, 0.5, 0.57, 0.7, 0.74, negative
0.31, 0.44, 0.48, 0.5, 0.5, 0.79, 0.82, negative
0.11, 0.5, 0.48, 0.5, 0.58, 0.72, 0.68, negative
0.85, 0.53, 0.48, 0.5, 0.53, 0.52, 0.35, negative
0.83, 0.48, 0.48, 0.5, 0.65, 0.76, 0.79, negative
0.64, 0.46, 0.48, 0.5, 0.48, 0.73, 0.76, negative
0.62, 0.42, 0.48, 0.5, 0.58, 0.79, 0.81, negative
0.81, 0.53, 0.48, 0.5, 0.57, 0.87, 0.88, negative
0.87, 0.49, 0.48, 0.5, 0.61, 0.76, 0.79, negative
0.76, 0.41, 0.48, 0.5, 0.5, 0.59, 0.62, negative
0.64, 0.45, 0.48, 0.5, 0.67, 0.61, 0.66, negative
0.88, 0.42, 0.48, 0.5, 0.52, 0.73, 0.75, negative
0.78, 0.68, 0.48, 0.5, 0.83, 0.4, 0.29, negative
0.61, 0.75, 0.48, 0.5, 0.51, 0.33, 0.33, negative
0.73, 0.84, 0.48, 0.5, 0.86, 0.58, 0.29, negative
0.68, 0.76, 0.48, 0.5, 0.84, 0.45, 0.27, negative
0.56, 0.68, 0.48, 0.5, 0.77, 0.36, 0.45, negative
0.65, 0.51, 0.48, 0.5, 0.66, 0.54, 0.33, negative
0.6, 0.76, 1.0, 0.5, 0.77, 0.59, 0.52, negative
0.71, 0.71, 0.48, 0.5, 0.68, 0.43, 0.36, negative
0.77, 0.57, 1.0, 0.5, 0.37, 0.54, 0.01, negative
0.71, 0.46, 1.0, 0.5, 0.52, 0.59, 0.3, negative
0.67, 0.55, 1.0, 0.5, 0.66, 0.58, 0.16, negative
0.7, 0.61, 0.48, 0.5, 0.56, 0.52, 0.43, positive
0.65, 0.57, 0.48, 0.5, 0.47, 0.47, 0.51, positive
0.57, 0.59, 0.48, 0.5, 0.39, 0.47, 0.33, positive
0.67, 0.81, 0.48, 0.5, 0.25, 0.42, 0.25, positive
0.63, 0.86, 0.48, 0.5, 0.39, 0.47, 0.34, positive
0.63, 0.71, 0.48, 0.5, 0.6, 0.4, 0.39, positive
0.69, 0.67, 0.48, 0.5, 0.3, 0.39, 0.24, positive
0.66, 0.71, 0.48, 0.5, 0.41, 0.5, 0.35, positive
0.76, 0.73, 0.48, 0.5, 0.44, 0.39, 0.39, positive
0.43, 0.59, 0.48, 0.5, 0.52, 0.49, 0.56, positive
