@relation ecoli3
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.68, 0.49, 1.0, 0.5, 0.62, 0.55, 0.28, negative
0.75, 0.84, 0.48, 0.5, 0.35, 0.52, 0.33, negative
0.52, 0.44, 0.48, 0.5, 0.37, 0.36, 0.42, negative
0.41, 0.51, 0.48, 0.5, 0.58, 0.2, 0.31, negative
0.76, 0.71, 0.48, 0.5, 0.5, 0.71, 0.75, positive
0.81, 0.52, 0.48, 0.5, 0.57, 0.78, 0.8, positive
0.63, 0.75, 0.48, 0.5, 0.64, 0.73, 0.66, negative
0.37, 0.5, 0.48, 0.5, 0.42, 0.36, 0.45, negative
0.44, 0.56, 0.48, 0.5, 0.5, 0.46, 0.54, negative
0.4, 0.5, 0.48, 0.5, 0.65, 0.82, 0.84, negative
0.74, 0.7, 0.48, 0.5, 0.66, 0.65, 0.69, negative
0.74, 0.44, 0.48, 0.5, 0.55, 0.88, 0.89, negative
0.5, 0.66, 0.48, 0.5, 0.31, 0.92, 0.92, negative
0.61, 0.36, 0.48, 0.5, 0.49, 0.35, 0.44, negative
0.36, 0.41, 0.48, 0.5, 0.48, 0.47, 0.54, negative
0.63, 0.69, 0.48, 0.5, 0.65, 0.41, 0.28, negative
0.22, 0.34, 0.48, 0.5, 0.42, 0.29, 0.39, negative
0.54, 0.49, 0.48, 0.5, 0.4, 0.87, 0.88, negative
0.23, 0.34, 0.48, 0.5, 0.43, 0.26, 0.37, negative
0.43, 0.37, 0.48, 0.5, 0.53, 0.35, 0.44, negative
0.83, 0.48, 0.48, 0.5, 0.65, 0.76, 0.79, positive
0.72, 0.86, 0.48, 0.5, 0.17, 0.55, 0.21, negative
0.23, 0.4, 0.48, 0.5, 0.39, 0.28, 0.38, negative
0.74, 0.47, 0.48, 0.5, 0.5, 0.57, 0.42, negative
0.71, 0.71, 0.48, 0.5, 0.4, 0.54, 0.39, negative
0.64, 0.45, 0.48, 0.5, 0.67, 0.61, 0.66, positive
0.63, 0.49, 0.48, 0.5, 0.79, 0.45, 0.28, negative
0.63, 0.71, 0.48, 0.5, 0.6, 0.4, 0.39, negative
0.24, 0.41, 0.48, 0.5, 0.49, 0.23, 0.34, negative
0.49, 0.61, 1.0, 0.5, 0.56, 0.71, 0.74, positive
0.24, 0.43, 0.48, 0.5, 0.37, 0.28, 0.38, negative
0.69, 0.67, 0.48, 0.5, 0.3, 0.39, 0.24, negative
0.28, 0.33, 0.48, 0.5, 0.45, 0.22, 0.33, negative
0.3, 0.16, 0.48, 0.5, 0.56, 0.11, 0.23, negative
0.69, 0.8, 0.48, 0.5, 0.46, 0.57, 0.26, negative
0.35, 0.48, 0.48, 0.5, 0.56, 0.4, 0.48, negative
0.3, 0.37, 0.48, 0.5, 0.59, 0.41, 0.49, negative
0.36, 0.39, 0.48, 0.5, 0.48, 0.22, 0.23, negative
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, negative
0.0, 0.51, 0.48, 0.5, 0.35, 0.67, 0.44, negative
0.35, 0.51, 0.48, 0.5, 0.61, 0.71, 0.74, negative
0.73, 0.36, 0.48, 0.5, 0.53, 0.91, 0.92, negative
0.32, 0.42, 0.48, 0.5, 0.35, 0.28, 0.38, negative
0.64, 0.76, 0.48, 0.5, 0.45, 0.35, 0.38, negative
0.29, 0.28, 0.48, 0.5, 0.5, 0.42, 0.5, negative
0.44, 0.42, 0.48, 0.5, 0.42, 0.25, 0.2, negative
0.63, 0.83, 0.48, 0.5, 0.4, 0.39, 0.19, negative
0.61, 0.6, 0.48, 0.5, 0.44, 0.39, 0.38, negative
0.57, 0.38, 0.48, 0.5, 0.06, 0.49, 0.33, positive
0.43, 0.4, 0.48, 0.5, 0.39, 0.28, 0.39, negative
0.48, 0.45, 0.48, 0.5, 0.6, 0.78, 0.8, negative
0.44, 0.27, 0.48, 0.5, 0.55, 0.52, 0.58, negative
0.11, 0.5, 0.48, 0.5, 0.58, 0.72, 0.68, negative
0.4, 0.41, 0.48, 0.5, 0.55, 0.22, 0.33, negative
0.7, 0.64, 0.48, 0.5, 0.47, 0.51, 0.47, negative
0.32, 0.33, 0.48, 0.5, 0.6, 0.06, 0.2, negative
0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, negative
0.56, 0.54, 0.48, 0.5, 0.43, 0.37, 0.3, negative
0.36, 0.45, 0.48, 0.5, 0.38, 0.79, 0.17, negative
0.66, 0.86, 0.48, 0.5, 0.34, 0.41, 0.36, negative
0.23, 0.33, 0.48, 0.5, 0.43, 0.33, 0.43, negative
0.5, 0.57, 0.48, 0.5, 0.71, 0.61, 0.66, negative
0.41, 0.43, 0.48, 0.5, 0.5, 0.24, 0.25, negative
0.63, 0.42, 0.48, 0.5, 0.48, 0.77, 0.8, positive
0.38, 0.46, 0.48, 0.5, 0.48, 0.22, 0.29, negative
0.31, 0.5, 0.48, 0.5, 0.57, 0.84, 0.85, negative
0.65, 0.51, 0.48, 0.5, 0.66, 0.54, 0.33, negative
