@relation ele-1
@attribute Inhabitants integer [1, 320]
@attribute Distance real [60.0, 1673.329956]
@attribute Length real [80.0, 7675.0]
@inputs Inhabitants, Distance
@outputs Length
@data
4.000000, 336.670013, 643.000000
56.000000, 320.000000, 1146.000000
45.000000, 451.670013, 1345.000000
15.000000, 501.670013, 1818.000000
43.000000, 400.000000, 1671.000000
52.000000, 546.669983, 2362.000000
24.000000, 783.330017, 2239.000000
3.000000, 210.000000, 353.000000
38.000000, 426.670013, 2608.000000
12.000000, 446.670013, 844.000000
37.000000, 220.000000, 895.000000
50.000000, 188.330002, 605.000000
56.000000, 816.669983, 4879.000000
75.000000, 410.000000, 1528.000000
13.000000, 233.330002, 517.000000
4.000000, 210.000000, 456.000000
19.000000, 323.329987, 657.000000
6.000000, 556.669983, 1364.000000
15.000000, 610.000000, 1736.000000
17.000000, 295.000000, 970.000000
31.000000, 476.670013, 1370.000000
9.000000, 135.000000, 346.000000
35.000000, 396.670013, 1168.000000
9.000000, 116.669998, 176.000000
26.000000, 376.670013, 1803.000000
7.000000, 1000.000000, 1453.000000
24.000000, 350.000000, 915.000000
26.000000, 86.669998, 231.000000
15.000000, 553.330017, 1617.000000
16.000000, 1673.329956, 3729.000000
59.000000, 796.669983, 4610.000000
23.000000, 966.669983, 2809.000000
13.000000, 513.330017, 1478.000000
66.000000, 846.669983, 3327.000000
59.000000, 633.330017, 1981.000000
6.000000, 300.000000, 668.000000
31.000000, 373.329987, 1196.000000
30.000000, 1180.000000, 4712.000000
25.000000, 520.000000, 1789.000000
39.000000, 520.000000, 2199.000000
39.000000, 293.329987, 774.000000
63.000000, 295.000000, 1466.000000
50.000000, 476.670013, 2039.000000
89.000000, 1013.330017, 2800.000000
19.000000, 443.329987, 1011.000000
16.000000, 126.669998, 534.000000
57.000000, 503.329987, 1565.000000
18.000000, 636.669983, 1972.000000
35.000000, 671.669983, 2071.000000
12.000000, 405.000000, 1296.000000
20.000000, 616.669983, 1575.000000
46.000000, 575.000000, 2974.000000
11.000000, 313.329987, 1141.000000
24.000000, 223.330002, 592.000000
70.000000, 250.000000, 1285.000000
42.000000, 680.000000, 3235.000000
44.000000, 766.669983, 2254.000000
26.000000, 393.329987, 1676.000000
11.000000, 213.330002, 657.000000
35.000000, 586.669983, 2629.000000
29.000000, 180.000000, 621.000000
8.000000, 500.000000, 1176.000000
24.000000, 280.000000, 666.000000
13.000000, 298.329987, 500.000000
4.000000, 646.669983, 948.000000
25.000000, 360.000000, 1087.000000
40.000000, 673.330017, 2145.000000
47.000000, 636.669983, 1409.000000
16.000000, 583.330017, 1660.000000
39.000000, 396.670013, 1720.000000
46.000000, 460.000000, 1421.000000
11.000000, 293.329987, 739.000000
50.000000, 400.000000, 1388.000000
24.000000, 230.000000, 764.000000
21.000000, 963.330017, 1588.000000
13.000000, 696.669983, 2148.000000
9.000000, 366.670013, 1113.000000
185.000000, 943.330017, 6539.000000
12.000000, 176.669998, 357.000000
27.000000, 923.330017, 4820.000000
18.000000, 226.669998, 386.000000
14.000000, 216.669998, 710.000000
25.000000, 433.329987, 1500.000000
90.000000, 963.330017, 5990.000000
33.000000, 710.000000, 1391.000000
31.000000, 700.000000, 2090.000000
45.000000, 563.330017, 2097.000000
61.000000, 686.669983, 3605.000000
67.000000, 826.669983, 3380.000000
18.000000, 460.000000, 1150.000000
14.000000, 415.000000, 1141.000000
52.000000, 423.329987, 1370.000000
29.000000, 890.000000, 5401.000000
142.000000, 281.670013, 1971.000000
12.000000, 536.669983, 1064.000000
9.000000, 486.670013, 1092.000000
6.000000, 136.669998, 160.000000
45.000000, 490.000000, 1979.000000
15.000000, 263.329987, 910.000000
