@relation Estimation_of_the_Low_Voltage_Electrical_Line_Length_in_Rural_Towns
@attribute inhabitants integer [1, 320]
@attribute distance real [60.0, 1673.329956]
@attribute length real [80.0, 7675.0]
@data
59.000000, 783.330017, 2891.000000
7.000000, 211.669998, 375.000000
12.000000, 323.329987, 1357.000000
54.000000, 681.669983, 3731.000000
6.000000, 300.000000, 668.000000
37.000000, 188.330002, 723.000000
52.000000, 563.330017, 2123.000000
19.000000, 623.330017, 1663.000000
9.000000, 115.000000, 126.000000
18.000000, 713.330017, 2253.000000
91.000000, 996.669983, 2702.000000
34.000000, 240.000000, 773.000000
19.000000, 436.670013, 670.000000
14.000000, 566.669983, 2797.000000
29.000000, 156.669998, 675.000000
12.000000, 405.000000, 1296.000000
40.000000, 361.670013, 1030.000000
16.000000, 753.330017, 2857.000000
24.000000, 350.000000, 915.000000
27.000000, 223.330002, 384.000000
25.000000, 520.000000, 1789.000000
12.000000, 306.670013, 1023.000000
71.000000, 363.329987, 1726.000000
57.000000, 211.669998, 817.000000
10.000000, 380.000000, 1261.000000
13.000000, 763.330017, 2289.000000
28.000000, 261.670013, 660.000000
26.000000, 245.000000, 742.000000
18.000000, 856.669983, 4437.000000
36.000000, 776.669983, 2087.000000
45.000000, 451.670013, 1345.000000
43.000000, 193.330002, 445.000000
40.000000, 876.669983, 3215.000000
16.000000, 606.669983, 1936.000000
27.000000, 751.669983, 4210.000000
36.000000, 573.330017, 2275.000000
30.000000, 446.670013, 1868.000000
42.000000, 573.330017, 2522.000000
35.000000, 736.669983, 2686.000000
25.000000, 551.669983, 1895.000000
16.000000, 583.330017, 1660.000000
43.000000, 400.000000, 1671.000000
38.000000, 426.670013, 2608.000000
51.000000, 975.000000, 3210.000000
29.000000, 890.000000, 5401.000000
28.000000, 533.330017, 1724.000000
41.000000, 893.330017, 4595.000000
12.000000, 213.330002, 616.000000
67.000000, 826.669983, 3380.000000
12.000000, 366.670013, 804.000000
