@relation ele1
@attribute inhabitants integer [1, 320]
@attribute distance real [60.0, 1673.329956]
@attribute length real [80.0, 7675.0]
@inputs inhabitants, distance
@outputs length
@data
15, 605.0, 2146.0
13, 696.669983, 2148.0
23, 395.0, 1614.0
9, 486.670013, 1092.0
41, 500.0, 2891.0
39, 380.0, 1660.0
52, 398.329987, 1284.0
56, 320.0, 1146.0
19, 443.329987, 1011.0
6, 300.0, 668.0
57, 580.0, 3357.0
32, 270.0, 909.0
39, 396.670013, 1720.0
11, 293.329987, 739.0
28, 673.330017, 1723.0
57, 666.669983, 2553.0
24, 230.0, 764.0
24, 420.0, 2082.0
90, 341.670013, 1623.0
9, 366.670013, 1113.0
39, 326.670013, 1161.0
69, 443.329987, 1562.0
19, 623.330017, 1663.0
79, 416.670013, 2557.0
29, 541.669983, 2312.0
1, 120.0, 212.0
2, 105.0, 80.0
1, 150.0, 150.0
28, 456.670013, 1349.0
19, 138.330002, 466.0
24, 280.0, 666.0
2, 380.0, 737.0
26, 86.669998, 231.0
12, 176.669998, 357.0
18, 713.330017, 2253.0
31, 476.670013, 1370.0
3, 60.0, 96.0
4, 210.0, 456.0
10, 201.669998, 574.0
47, 636.669983, 1409.0
10, 405.0, 621.0
19, 510.0, 1895.0
26, 393.329987, 1676.0
16, 266.670013, 905.0
34, 518.330017, 2470.0
21, 506.670013, 1730.0
16, 738.330017, 1805.0
18, 716.669983, 2274.0
18, 128.330002, 516.0
16, 280.0, 638.0
19, 323.329987, 657.0
45, 603.330017, 2225.0
11, 313.329987, 1141.0
16, 596.669983, 1108.0
11, 258.329987, 913.0
40, 673.330017, 2145.0
15, 610.0, 1736.0
34, 280.0, 733.0
3, 95.0, 123.0
18, 226.669998, 386.0
68, 240.0, 643.0
13, 733.330017, 864.0
15, 486.670013, 1325.0
16, 373.329987, 1000.0
8, 500.0, 1176.0
24, 350.0, 915.0
19, 775.0, 2737.0
12, 600.0, 1898.0
29, 340.0, 755.0
27, 480.0, 1491.0
25, 520.0, 1789.0
11, 453.329987, 897.0
35, 586.669983, 2629.0
14, 566.669983, 2797.0
15, 476.670013, 1336.0
42, 680.0, 3235.0
45, 490.0, 1979.0
31, 415.0, 1354.0
45, 350.0, 1607.0
37, 188.330002, 723.0
16, 608.330017, 1641.0
26, 716.669983, 2435.0
27, 353.329987, 1110.0
52, 423.329987, 1370.0
52, 563.330017, 2123.0
24, 533.330017, 2437.0
89, 1013.330017, 2800.0
46, 575.0, 2974.0
59, 783.330017, 2891.0
57, 503.329987, 1565.0
28, 193.330002, 1064.0
3, 210.0, 353.0
76, 230.0, 1140.0
48, 550.0, 1500.0
42, 350.0, 1295.0
36, 776.669983, 2087.0
18, 376.670013, 1100.0
39, 181.669998, 673.0
13, 233.330002, 517.0
23, 850.0, 1670.0
37, 220.0, 895.0
32, 383.329987, 1104.0
58, 301.670013, 692.0
26, 496.670013, 1328.0
43, 193.330002, 445.0
11, 180.0, 481.0
44, 766.669983, 2254.0
4, 336.670013, 643.0
47, 158.330002, 592.0
12, 405.0, 1296.0
26, 481.670013, 1044.0
14, 976.669983, 2465.0
9, 520.0, 1551.0
10, 380.0, 1261.0
16, 660.0, 1368.0
28, 533.330017, 1724.0
10, 648.330017, 1773.0
25, 551.669983, 1895.0
46, 460.0, 1421.0
41, 633.330017, 1776.0
39, 238.330002, 554.0
47, 426.670013, 1015.0
16, 753.330017, 2857.0
11, 495.0, 828.0
59, 633.330017, 1981.0
9, 115.0, 126.0
6, 85.0, 132.0
24, 395.0, 505.0
15, 426.670013, 1047.0
30, 863.330017, 2684.0
22, 271.670013, 1046.0
44, 563.330017, 2346.0
29, 890.0, 5401.0
32, 991.669983, 3000.0
41, 893.330017, 4595.0
41, 926.669983, 3552.0
21, 516.669983, 2478.0
51, 1018.330017, 3977.0
16, 1673.329956, 3729.0
30, 1180.0, 4712.0
12, 366.670013, 804.0
27, 751.669983, 4210.0
48, 728.330017, 5384.0
13, 513.330017, 1478.0
92, 458.329987, 1733.0
31, 633.330017, 1422.0
18, 716.669983, 1430.0
37, 860.0, 2470.0
19, 280.0, 469.0
36, 223.330002, 567.0
18, 396.670013, 1174.0
16, 556.669983, 1590.0
26, 603.330017, 2748.0
27, 550.0, 1688.0
51, 405.0, 1956.0
63, 295.0, 1466.0
91, 996.669983, 2702.0
17, 720.0, 1417.0
4, 646.669983, 948.0
111, 370.0, 1025.0
16, 126.669998, 534.0
36, 305.0, 1147.0
14, 893.330017, 2765.0
67, 1050.0, 4070.0
37, 923.330017, 3200.0
