@relation ele1
@attribute inhabitants integer [1, 320]
@attribute distance real [60.0, 1673.329956]
@attribute length real [80.0, 7675.0]
@inputs inhabitants, distance
@outputs length
@data
13, 696.669983, 2148.0
25, 443.329987, 2178.0
22, 373.329987, 1322.0
34, 240.0, 773.0
8, 290.0, 358.0
23, 395.0, 1614.0
9, 486.670013, 1092.0
39, 380.0, 1660.0
12, 165.0, 356.0
25, 158.330002, 365.0
11, 316.670013, 642.0
29, 180.0, 621.0
5, 186.669998, 389.0
56, 320.0, 1146.0
19, 443.329987, 1011.0
46, 323.329987, 1032.0
57, 580.0, 3357.0
78, 813.330017, 4765.0
26, 590.0, 2389.0
15, 553.330017, 1617.0
32, 270.0, 909.0
43, 400.0, 1671.0
39, 396.670013, 1720.0
25, 360.0, 1087.0
28, 673.330017, 1723.0
20, 900.0, 2628.0
21, 963.330017, 1588.0
24, 230.0, 764.0
24, 420.0, 2082.0
90, 341.670013, 1623.0
39, 326.670013, 1161.0
69, 443.329987, 1562.0
26, 365.0, 1441.0
79, 416.670013, 2557.0
31, 718.330017, 1948.0
29, 541.669983, 2312.0
28, 448.329987, 1599.0
1, 120.0, 212.0
2, 105.0, 80.0
1, 80.0, 80.0
1, 150.0, 150.0
19, 138.330002, 466.0
57, 211.669998, 817.0
24, 280.0, 666.0
40, 361.670013, 1030.0
142, 281.670013, 1971.0
7, 1000.0, 1453.0
23, 683.330017, 1873.0
7, 340.0, 1284.0
2, 380.0, 737.0
41, 135.0, 811.0
26, 86.669998, 231.0
75, 346.670013, 1531.0
70, 591.669983, 3221.0
31, 476.670013, 1370.0
20, 370.0, 921.0
4, 210.0, 456.0
39, 335.0, 883.0
10, 201.669998, 574.0
8, 291.670013, 475.0
10, 405.0, 621.0
24, 223.330002, 592.0
26, 393.329987, 1676.0
11, 213.330002, 657.0
34, 518.330017, 2470.0
27, 763.330017, 1799.0
27, 533.330017, 1192.0
38, 258.329987, 734.0
35, 671.669983, 2071.0
20, 358.329987, 599.0
16, 738.330017, 1805.0
18, 716.669983, 2274.0
18, 128.330002, 516.0
16, 280.0, 638.0
19, 323.329987, 657.0
45, 603.330017, 2225.0
16, 596.669983, 1108.0
10, 458.329987, 744.0
39, 520.0, 2199.0
33, 710.0, 1391.0
11, 258.329987, 913.0
