@relation Estimation_of_the_Low_Voltage_Electrical_Line_Length_in_Rural_Towns
@attribute inhabitants integer [1, 320]
@attribute distance real [60.0, 1673.329956]
@attribute length real [80.0, 7675.0]
@data
10.000000, 473.329987, 844.000000
23.000000, 395.000000, 1614.000000
16.000000, 583.330017, 1660.000000
9.000000, 171.669998, 390.000000
65.000000, 336.670013, 1601.000000
25.000000, 443.329987, 2178.000000
34.000000, 518.330017, 2470.000000
20.000000, 900.000000, 2628.000000
55.000000, 1006.669983, 4880.000000
29.000000, 340.000000, 755.000000
26.000000, 586.669983, 2959.000000
30.000000, 446.670013, 1868.000000
41.000000, 926.669983, 3552.000000
74.000000, 613.330017, 1675.000000
75.000000, 410.000000, 1528.000000
63.000000, 830.000000, 3330.000000
38.000000, 258.329987, 734.000000
34.000000, 343.329987, 1224.000000
39.000000, 326.670013, 1161.000000
15.000000, 650.000000, 1982.000000
5.000000, 160.000000, 404.000000
24.000000, 223.330002, 592.000000
8.000000, 456.670013, 903.000000
12.000000, 165.000000, 356.000000
22.000000, 923.330017, 1780.000000
4.000000, 336.670013, 643.000000
25.000000, 756.669983, 2972.000000
55.000000, 736.669983, 2916.000000
23.000000, 966.669983, 2809.000000
15.000000, 501.670013, 1818.000000
11.000000, 633.330017, 1349.000000
47.000000, 983.330017, 4016.000000
18.000000, 636.669983, 1972.000000
25.000000, 313.329987, 1051.000000
2.000000, 380.000000, 737.000000
44.000000, 390.000000, 1167.000000
9.000000, 486.670013, 1092.000000
14.000000, 216.669998, 710.000000
108.000000, 611.669983, 2764.000000
7.000000, 1000.000000, 1453.000000
6.000000, 556.669983, 1364.000000
56.000000, 816.669983, 4879.000000
57.000000, 580.000000, 3357.000000
7.000000, 340.000000, 1284.000000
22.000000, 620.000000, 1535.000000
27.000000, 288.329987, 1229.000000
27.000000, 533.330017, 1192.000000
77.000000, 490.000000, 2684.000000
27.000000, 923.330017, 4820.000000
36.000000, 945.000000, 2160.000000
17.000000, 376.670013, 952.000000
68.000000, 240.000000, 643.000000
43.000000, 363.329987, 1181.000000
51.000000, 975.000000, 3210.000000
29.000000, 541.669983, 2312.000000
5.000000, 368.329987, 656.000000
7.000000, 546.669983, 1370.000000
21.000000, 363.329987, 1691.000000
24.000000, 466.670013, 1739.000000
39.000000, 533.330017, 2560.000000
39.000000, 335.000000, 883.000000
28.000000, 193.330002, 1064.000000
40.000000, 876.669983, 3215.000000
19.000000, 363.329987, 1190.000000
20.000000, 463.329987, 1360.000000
25.000000, 346.670013, 1276.000000
8.000000, 330.000000, 513.000000
1.000000, 150.000000, 150.000000
19.000000, 775.000000, 2737.000000
26.000000, 365.000000, 1441.000000
21.000000, 466.670013, 1002.000000
37.000000, 923.330017, 3200.000000
35.000000, 330.000000, 1084.000000
17.000000, 420.000000, 622.000000
35.000000, 396.670013, 1168.000000
29.000000, 461.670013, 2142.000000
26.000000, 423.329987, 1362.000000
16.000000, 333.329987, 686.000000
11.000000, 213.330002, 657.000000
39.000000, 238.330002, 554.000000
48.000000, 728.330017, 5384.000000
