@relation Estimation_of_the_Low_Voltage_Electrical_Line_Length_in_Rural_Towns
@attribute inhabitants integer [1, 320]
@attribute distance real [60.0, 1673.329956]
@attribute length real [80.0, 7675.0]
@data
26.000000, 590.000000, 2389.000000
18.000000, 376.670013, 1100.000000
65.000000, 336.670013, 1601.000000
63.000000, 295.000000, 1466.000000
55.000000, 308.329987, 2055.000000
30.000000, 863.330017, 2684.000000
42.000000, 756.669983, 2134.000000
3.000000, 316.670013, 840.000000
47.000000, 983.330017, 4016.000000
76.000000, 230.000000, 1140.000000
60.000000, 755.000000, 2305.000000
19.000000, 533.330017, 908.000000
34.000000, 1095.000000, 4673.000000
44.000000, 766.669983, 2254.000000
13.000000, 763.330017, 2289.000000
29.000000, 180.000000, 621.000000
44.000000, 366.670013, 1635.000000
17.000000, 276.670013, 839.000000
15.000000, 806.669983, 2610.000000
64.000000, 573.330017, 2765.000000
36.000000, 573.330017, 2275.000000
34.000000, 343.329987, 1224.000000
35.000000, 671.669983, 2071.000000
13.000000, 490.000000, 1478.000000
39.000000, 290.000000, 542.000000
9.000000, 486.670013, 1092.000000
9.000000, 116.669998, 176.000000
12.000000, 405.000000, 1296.000000
30.000000, 386.670013, 1083.000000
11.000000, 495.000000, 828.000000
26.000000, 376.670013, 1803.000000
19.000000, 623.330017, 1663.000000
19.000000, 363.329987, 1190.000000
22.000000, 433.329987, 1706.000000
35.000000, 736.669983, 2686.000000
55.000000, 343.329987, 1396.000000
52.000000, 398.329987, 1284.000000
79.000000, 576.669983, 2702.000000
19.000000, 323.329987, 657.000000
2.000000, 380.000000, 737.000000
22.000000, 373.329987, 1322.000000
23.000000, 966.669983, 2809.000000
1.000000, 120.000000, 212.000000
48.000000, 550.000000, 1500.000000
9.000000, 115.000000, 126.000000
36.000000, 945.000000, 2160.000000
29.000000, 890.000000, 5401.000000
83.000000, 758.330017, 2120.000000
47.000000, 636.669983, 1409.000000
17.000000, 176.669998, 498.000000
12.000000, 323.329987, 1357.000000
27.000000, 223.330002, 384.000000
77.000000, 560.000000, 1880.000000
31.000000, 700.000000, 2090.000000
37.000000, 923.330017, 3200.000000
31.000000, 633.330017, 1422.000000
70.000000, 591.669983, 3221.000000
35.000000, 1016.669983, 4046.000000
57.000000, 211.669998, 817.000000
25.000000, 158.330002, 365.000000
14.000000, 566.669983, 2797.000000
39.000000, 533.330017, 2560.000000
15.000000, 278.329987, 623.000000
36.000000, 223.330002, 567.000000
39.000000, 335.000000, 883.000000
65.000000, 596.669983, 2674.000000
46.000000, 460.000000, 1421.000000
11.000000, 213.330002, 657.000000
40.000000, 450.000000, 1663.000000
29.000000, 156.669998, 675.000000
9.000000, 261.670013, 993.000000
35.000000, 586.669983, 2629.000000
18.000000, 396.670013, 1174.000000
59.000000, 783.330017, 2891.000000
26.000000, 365.000000, 1441.000000
57.000000, 580.000000, 3357.000000
26.000000, 393.329987, 1676.000000
31.000000, 373.329987, 1196.000000
13.000000, 696.669983, 2148.000000
35.000000, 246.669998, 1010.000000
18.000000, 856.669983, 4437.000000
55.000000, 420.000000, 1520.000000
150.000000, 1050.000000, 7675.000000
27.000000, 550.000000, 1688.000000
51.000000, 975.000000, 3210.000000
32.000000, 991.669983, 3000.000000
39.000000, 326.670013, 1161.000000
18.000000, 716.669983, 1430.000000
57.000000, 666.669983, 2553.000000
28.000000, 448.329987, 1599.000000
46.000000, 575.000000, 2974.000000
15.000000, 263.329987, 910.000000
25.000000, 253.330002, 835.000000
70.000000, 250.000000, 1285.000000
23.000000, 850.000000, 1670.000000
54.000000, 515.000000, 1471.000000
63.000000, 645.000000, 2930.000000
28.000000, 268.329987, 1003.000000
4.000000, 646.669983, 948.000000
9.000000, 476.670013, 2452.000000
34.000000, 240.000000, 773.000000
9.000000, 171.669998, 390.000000
26.000000, 86.669998, 231.000000
19.000000, 723.330017, 3157.000000
7.000000, 340.000000, 1284.000000
34.000000, 508.329987, 1835.000000
55.000000, 736.669983, 2916.000000
32.000000, 270.000000, 909.000000
17.000000, 295.000000, 823.000000
27.000000, 923.330017, 4820.000000
16.000000, 266.670013, 905.000000
18.000000, 736.669983, 1130.000000
6.000000, 85.000000, 132.000000
21.000000, 640.000000, 1998.000000
200.000000, 506.670013, 3310.000000
20.000000, 370.000000, 1144.000000
27.000000, 288.329987, 1229.000000
20.000000, 370.000000, 921.000000
27.000000, 353.329987, 1110.000000
41.000000, 733.330017, 3085.000000
15.000000, 713.330017, 1894.000000
19.000000, 510.000000, 1895.000000
21.000000, 363.329987, 1691.000000
130.000000, 668.330017, 5589.000000
36.000000, 305.000000, 1147.000000
23.000000, 303.329987, 1003.000000
78.000000, 675.000000, 2594.000000
12.000000, 351.670013, 1019.000000
58.000000, 301.670013, 692.000000
15.000000, 426.670013, 1047.000000
44.000000, 563.330017, 2346.000000
69.000000, 466.670013, 3096.000000
14.000000, 216.669998, 710.000000
22.000000, 433.329987, 1704.000000
10.000000, 380.000000, 1261.000000
27.000000, 763.330017, 1799.000000
13.000000, 233.330002, 517.000000
12.000000, 446.670013, 844.000000
67.000000, 501.670013, 1953.000000
56.000000, 816.669983, 4879.000000
15.000000, 205.000000, 374.000000
6.000000, 556.669983, 1364.000000
7.000000, 546.669983, 1370.000000
16.000000, 406.670013, 1679.000000
92.000000, 793.330017, 1855.000000
24.000000, 783.330017, 2239.000000
32.000000, 383.329987, 1104.000000
13.000000, 423.329987, 706.000000
59.000000, 471.670013, 1336.000000
46.000000, 390.000000, 1176.000000
30.000000, 300.000000, 764.000000
39.000000, 238.330002, 554.000000
20.000000, 616.669983, 1575.000000
46.000000, 1106.670044, 2651.000000
52.000000, 673.330017, 2898.000000
25.000000, 346.670013, 1276.000000
31.000000, 476.670013, 1370.000000
10.000000, 611.669983, 2350.000000
6.000000, 300.000000, 668.000000
9.000000, 135.000000, 346.000000
7.000000, 211.669998, 375.000000
25.000000, 360.000000, 1087.000000
18.000000, 330.000000, 822.000000
67.000000, 826.669983, 3380.000000
10.000000, 258.329987, 432.000000
46.000000, 663.330017, 2206.000000
24.000000, 223.330002, 592.000000
23.000000, 493.329987, 1404.000000
9.000000, 191.669998, 353.000000
55.000000, 830.000000, 4268.000000
46.000000, 460.000000, 1534.000000
52.000000, 546.669983, 2362.000000
79.000000, 416.670013, 2557.000000
8.000000, 456.670013, 903.000000
69.000000, 853.330017, 5009.000000
11.000000, 633.330017, 1349.000000
32.000000, 305.000000, 1207.000000
16.000000, 660.000000, 1368.000000
29.000000, 373.329987, 1682.000000
15.000000, 476.670013, 1336.000000
16.000000, 603.330017, 1605.000000
92.000000, 248.330002, 1412.000000
13.000000, 673.330017, 1671.000000
125.000000, 706.669983, 4115.000000
86.000000, 873.330017, 2810.000000
21.000000, 963.330017, 1588.000000
39.000000, 416.670013, 1460.000000
28.000000, 193.330002, 1064.000000
26.000000, 245.000000, 742.000000
59.000000, 165.000000, 413.000000
19.000000, 173.330002, 484.000000
54.000000, 913.330017, 3433.000000
48.000000, 728.330017, 5384.000000
18.000000, 128.330002, 516.000000
67.000000, 1050.000000, 4070.000000
16.000000, 333.329987, 686.000000
23.000000, 953.330017, 2515.000000
126.000000, 690.000000, 1987.000000
