@relation Friedman_Benchmark_problem
@attribute input1 real [0.001211673, 0.99971881]
@attribute input2 real [1.60284E-4, 0.999677453]
@attribute input3 real [6.54566E-4, 0.999061886]
@attribute input4 real [2.12289E-4, 0.999480216]
@attribute input5 real [4.29891E-4, 0.999539431]
@attribute output real [0.664014955, 28.5903858]
@inputs input1, input2, input3, input4, input5
@outputs output
@data
0.366914125, 0.674946446, 0.860374313, 0.947456440, 0.181028475, 18.948318310
0.549895189, 0.731976049, 0.948102867, 0.529583082, 0.246776245, 20.098397060
0.807578011, 0.434973337, 0.084474427, 0.834670224, 0.507598962, 23.162144370
0.520114646, 0.257264078, 0.801836579, 0.048371600, 0.268812743, 7.235893310
0.995953470, 0.470357061, 0.588025194, 0.206753836, 0.740745865, 14.723416210
0.742630832, 0.588726790, 0.097130288, 0.127882015, 0.140600173, 14.807576430
0.670214117, 0.384165473, 0.100434490, 0.578451308, 0.181619048, 16.030818550
0.659555095, 0.701910919, 0.678460795, 0.374797223, 0.094855042, 14.311459040
0.080477185, 0.577759683, 0.389172660, 0.276018292, 0.986977331, 10.265190900
0.350201925, 0.544432052, 0.078505593, 0.214754806, 0.318275596, 14.851121240
0.095380472, 0.942943566, 0.860092261, 0.177426575, 0.717719907, 10.037828550
0.187086129, 0.584200807, 0.647449508, 0.812942501, 0.119625465, 12.420620940
0.135560709, 0.553052519, 0.740114551, 0.876328251, 0.631079762, 15.363457710
0.384382825, 0.235050041, 0.637783305, 0.881169885, 0.180766288, 12.362402060
0.206105640, 0.374821301, 0.331322495, 0.129546596, 0.488442077, 6.032721035
0.170225242, 0.993432684, 0.713720012, 0.655568657, 0.551109143, 14.275138600
0.690155657, 0.230033221, 0.367587989, 0.292967796, 0.448049353, 8.358575141
0.253774747, 0.533114531, 0.929135618, 0.252228198, 0.344459554, 13.527456830
0.653991176, 0.058670913, 0.418363727, 0.961490417, 0.008713562, 10.978620150
0.985327835, 0.115991137, 0.360278629, 0.507743419, 0.759441183, 13.899032190
0.786517334, 0.598067374, 0.831002944, 0.491244410, 0.722677398, 22.686704520
0.726268031, 0.889660090, 0.563071896, 0.140422463, 0.300336136, 12.286698550
0.574985121, 0.140196289, 0.079076629, 0.822899696, 0.909242128, 17.799646160
0.666612633, 0.013994812, 0.654372943, 0.807997922, 0.558915205, 11.433911550
0.748475161, 0.985885967, 0.597407014, 0.345612538, 0.472061969, 14.361379170
0.210073934, 0.347436914, 0.389259494, 0.128814021, 0.293827337, 4.279413568
0.848119331, 0.591279992, 0.172125405, 0.654930544, 0.284196107, 19.850696080
0.318341723, 0.645392065, 0.606798487, 0.579269742, 0.219458361, 14.552201720
0.004090843, 0.387496350, 0.812983143, 0.518775776, 0.108219113, 8.397880004
0.616726053, 0.077891674, 0.185456891, 0.583458072, 0.353056907, 12.436164940
0.708293894, 0.365658694, 0.345357002, 0.962444061, 0.374445353, 18.538189000
0.570494442, 0.037243696, 0.981664024, 0.133704971, 0.327849210, 10.359558190
0.832038169, 0.658187615, 0.271894887, 0.491009573, 0.416346801, 17.281071420
0.851827738, 0.011542138, 0.566660445, 0.383559507, 0.149246721, 5.571254592
0.272497042, 0.404776325, 0.519617498, 0.374779335, 0.919178308, 12.763749980
0.531482014, 0.896183806, 0.632489002, 0.885812199, 0.772936932, 24.642798850
0.409238907, 0.346633534, 0.499260234, 0.446083882, 0.201135025, 10.290314850
0.729499379, 0.624728241, 0.667377260, 0.523396250, 0.485896217, 16.638179570
0.939139037, 0.495810128, 0.562593504, 0.442128199, 0.352367434, 16.253112000
0.505968196, 0.324976353, 0.804087541, 0.155063316, 0.088158187, 8.158757905
0.030199806, 0.803626268, 0.624902059, 0.374444071, 0.626545952, 6.239981765
0.311100994, 0.534185191, 0.444084528, 0.565471982, 0.711664413, 14.633213260
0.749684939, 0.867117667, 0.173930228, 0.380092781, 0.102526822, 15.097524160
0.765918533, 0.297238225, 0.387938956, 0.159810315, 0.708429493, 12.225453180
0.061805675, 0.204864396, 0.184556334, 0.739083438, 0.749772902, 12.347363990
0.595677775, 0.362750840, 0.787330675, 0.585887682, 0.214248440, 13.375426490
0.706902528, 0.701051445, 0.237564272, 0.330044476, 0.578129629, 17.126190030
0.532422108, 0.128847013, 0.617840580, 0.023660990, 0.585908559, 5.727393684
0.982392880, 0.291804704, 0.025325826, 0.936259340, 0.214301422, 22.711260800
0.021109642, 0.529123560, 0.733807685, 0.936596931, 0.529782861, 14.657417940
0.812318044, 0.986835271, 0.920524625, 0.683669748, 0.531917875, 16.995153780
0.271974583, 0.273707745, 0.295087982, 0.270398259, 0.792631024, 10.918329070
0.135753774, 0.449144900, 0.263393926, 0.003074571, 0.406692031, 5.554677868
0.744853846, 0.420950697, 0.368120525, 0.523003291, 0.626648414, 17.615336490
0.733211810, 0.084517791, 0.260555192, 0.123872001, 0.758248214, 9.693465454
0.231513081, 0.901299512, 0.873836128, 0.155944494, 0.742206662, 12.485780780
0.468462632, 0.982832937, 0.613598327, 0.360499389, 0.675823019, 17.348072530
0.044367632, 0.945838454, 0.290788166, 0.041905374, 0.764005912, 5.984382867
0.439875686, 0.230437535, 0.338356808, 0.213541653, 0.403901146, 8.158971721
0.942201261, 0.569909705, 0.294539660, 0.885332553, 0.062325606, 20.352730510
0.289361613, 0.031729653, 0.828245574, 0.411113563, 0.757629619, 9.796162867
0.999718810, 0.449758827, 0.292769936, 0.504872809, 0.567180421, 19.200775370
0.584634867, 0.910358740, 0.844509618, 0.140289114, 0.990711841, 18.836159490
0.799692924, 0.995531855, 0.329678781, 0.986634321, 0.946989531, 21.229858350
0.819352972, 0.076868390, 0.135787668, 0.782017377, 0.403987761, 14.141176610
0.531199784, 0.124407600, 0.018367922, 0.602691210, 0.241695507, 14.898806610
0.651623330, 0.804046865, 0.755587941, 0.840495043, 0.713142549, 22.127610230
0.600923753, 0.883506272, 0.126423394, 0.815483279, 0.072606506, 22.149548290
0.725854314, 0.826540779, 0.668313573, 0.718924818, 0.771965165, 20.580209010
0.445553996, 0.997123229, 0.958561978, 0.248515441, 0.881470531, 19.954153650
0.402136725, 0.596101795, 0.527052892, 0.397774454, 0.754243205, 15.042205300
0.267420537, 0.548423201, 0.275587474, 0.755913221, 0.035072033, 14.338394700
0.052519947, 0.009726680, 0.737048343, 0.763103210, 0.647951742, 11.759908510
0.884234697, 0.280287197, 0.911893405, 0.916457295, 0.738423070, 23.308778970
0.521252440, 0.431536699, 0.333249992, 0.059496745, 0.528856004, 11.428642380
0.293744819, 0.079198150, 0.016362441, 0.906864336, 0.525973306, 14.470783670
0.889601925, 0.991832159, 0.994959024, 0.703898887, 0.202300738, 15.726831120
0.732414099, 0.250196987, 0.395934358, 0.682652896, 0.545422691, 14.073852150
0.031233241, 0.952988091, 0.507367705, 0.069562376, 0.383417764, 4.735364682
0.647343969, 0.776445349, 0.681097903, 0.273834706, 0.541973430, 15.893516070
0.401391319, 0.275471598, 0.617892946, 0.537953266, 0.450348916, 8.937239350
