@relation friedman
@attribute Input1 real [0.0, 1.0]
@attribute Input2 real [0.0, 1.0]
@attribute Input3 real [0.0, 1.0]
@attribute Input4 real [0.0, 1.0]
@attribute Input5 real [0.0, 1.0]
@attribute Output real [0.664014955, 28.5903858]
@inputs Input1, Input2, Input3, Input4, Input5
@outputs Output
@data
0.590389914, 0.430674851, 0.869041807, 0.070911615, 0.634302531, 13.22920864
0.810716912, 0.262116166, 0.454194418, 0.854706083, 0.279769507, 15.18159268
0.406842974, 0.816174501, 0.861105547, 0.12890196, 0.15747881, 14.43309768
0.548029942, 0.413383545, 0.051123134, 0.291625666, 0.266992933, 15.32611201
0.456053481, 0.112559629, 0.659446458, 0.634988445, 0.432847142, 12.49720348
0.433284593, 0.499317833, 0.011763717, 0.742791589, 0.167519885, 20.38112218
0.584883811, 0.355236015, 0.984232039, 0.354178341, 0.596813273, 18.61862838
0.248283344, 0.602045717, 0.902310398, 0.801742163, 0.121105138, 15.93278752
0.395472681, 0.148524058, 0.866104054, 0.219236499, 0.332988133, 6.693455771
0.466320775, 0.947663007, 0.209719469, 0.86623526, 0.507813121, 22.58787569
0.333399485, 0.527669244, 0.450976033, 0.246950171, 0.50895421, 9.110224319
0.217310411, 0.416874686, 0.337622857, 0.005402645, 0.270699443, 4.527822193
0.271974583, 0.273707745, 0.295087982, 0.270398259, 0.792631024, 10.91832907
0.23306445, 0.137286187, 0.498967626, 0.572378245, 0.53806777, 9.789964308
0.573878155, 0.268686634, 0.982759497, 0.892343756, 0.919358694, 22.64791478
0.522995779, 0.552871092, 0.958324326, 0.914535234, 0.861863614, 25.38952096
0.981140356, 0.990766398, 0.528126167, 0.938412672, 0.362175476, 12.28260773
0.745389943, 0.685954641, 0.971859705, 0.845492724, 0.795368866, 28.5903858
0.750990239, 0.686462903, 0.963499423, 0.739162516, 0.526401369, 22.63643836
0.519317632, 0.429787961, 0.158892582, 0.695373605, 0.475499085, 19.02026557
0.519282797, 0.087675807, 0.275428346, 0.193111446, 0.758841709, 9.282674043
0.857342163, 0.168706002, 0.072977152, 0.919933593, 0.879148416, 23.05232234
0.052115965, 0.042216124, 0.815884795, 0.015894773, 0.313891926, 0.956075976
0.988085136, 0.195445914, 0.685649511, 0.975179353, 0.447754819, 19.45535895
0.559078081, 0.917156068, 0.601074479, 0.363780755, 0.902125726, 17.59720296
0.106145987, 0.671062669, 0.717803214, 0.756689189, 0.655855366, 14.06263257
0.664106519, 0.401448923, 0.841200707, 0.643469846, 0.728680085, 19.40317711
0.470605163, 0.024629465, 0.09730694, 0.862784494, 0.617844787, 14.84999609
0.118373838, 0.760787244, 0.90284959, 0.097152522, 0.346243661, 9.818658957
0.728502196, 0.831395515, 0.346678641, 0.94226158, 0.162308601, 20.35017993
0.56669087, 0.682362573, 0.694160979, 0.566302347, 0.866679952, 20.69738099
0.144783367, 0.128770996, 0.871283085, 0.082503292, 0.476162237, 6.891852019
0.467531462, 0.837819603, 0.437643659, 0.30970431, 0.817359684, 14.67893549
0.795163316, 0.510248931, 0.366079173, 0.47488758, 0.082245278, 14.6508042
0.293744819, 0.07919815, 0.016362441, 0.906864336, 0.525973306, 14.47078367
0.238991398, 0.345850225, 0.80638402, 0.708783183, 0.17096419, 12.03019166
0.625885814, 0.035910243, 0.885819885, 0.848418962, 0.533948878, 15.5027668
0.270700499, 0.760927989, 0.285109293, 0.269688741, 0.824450846, 14.15504828
0.980575813, 0.446383119, 0.139941805, 0.57979474, 0.375465816, 19.91831512
0.56633255, 0.163300795, 0.988431032, 0.592491888, 0.074156573, 16.34904744
0.986910952, 0.663788982, 0.282916764, 0.736862734, 0.940234279, 24.77275825
0.257684056, 0.926438751, 0.766297841, 0.022422279, 0.420533089, 11.22185495
0.090962495, 0.55399484, 0.994652121, 0.689805108, 0.787294073, 16.51122975
0.633843365, 0.187015142, 0.887036959, 0.801304323, 0.821085392, 18.92166292
0.402136725, 0.596101795, 0.527052892, 0.397774454, 0.754243205, 15.0422053
0.851827738, 0.011542138, 0.566660445, 0.383559507, 0.149246721, 5.571254592
0.401486244, 0.20773069, 0.334435045, 0.697906177, 0.347891304, 12.16279699
0.352417468, 0.303276763, 0.69241273, 0.396752905, 0.721610646, 9.850745243
0.558408249, 0.338741952, 0.996040682, 0.326864609, 0.348655034, 18.05262297
0.409238907, 0.346633534, 0.499260234, 0.446083882, 0.201135025, 10.29031485
0.523655533, 0.032320432, 0.630286024, 0.250373241, 0.126924826, 4.650543935
0.525396526, 0.130608036, 0.912849311, 0.304407345, 0.795863017, 12.59234474
0.487727325, 0.181389201, 0.634666005, 0.266165755, 0.22520868, 6.682119094
0.111725772, 0.470135881, 0.415812312, 0.90404083, 0.796316358, 15.82378324
0.189591752, 0.191924623, 0.1030534, 0.29876707, 0.402722139, 7.896092069
0.221333093, 0.923635614, 0.236692237, 0.765782111, 0.957434699, 20.20913952
0.390843655, 0.686858878, 0.852363442, 0.272691619, 0.315721263, 14.28024687
0.733820751, 0.064917804, 0.769080335, 0.34929863, 0.673167653, 9.276935643
0.289305537, 0.481002636, 0.138217035, 0.640827345, 0.776678494, 17.84356542
0.2855551, 0.647962807, 0.854050052, 0.836891784, 0.325534872, 19.90289642
0.951054807, 0.520584582, 0.872511144, 0.143268759, 0.253813896, 16.12926009
0.29364403, 0.089343782, 0.656614638, 0.823687456, 0.645834409, 13.18858952
0.859642219, 0.757555186, 0.160809529, 0.521708985, 0.915265512, 20.54528099
0.747083636, 0.31971782, 0.160040797, 0.971994032, 0.164713198, 21.65870483
0.563816569, 0.453855914, 0.530261185, 0.90642771, 0.237864571, 18.29779482
0.93761829, 0.560553396, 0.406227198, 0.76863633, 0.98872739, 22.25920064
0.710009262, 0.212290078, 0.112185168, 0.981858414, 0.04280913, 19.00626593
0.612114734, 0.790125912, 0.037905019, 0.47651959, 0.110222857, 21.24393087
0.770125539, 0.614244142, 0.703048692, 0.852531099, 0.919246984, 24.43165597
0.047411205, 0.836776036, 0.188780989, 0.229423627, 0.380771693, 7.505254322
0.626932092, 0.311407195, 0.541393086, 0.232820973, 0.746107135, 11.51881372
0.65162333, 0.804046865, 0.755587941, 0.840495043, 0.713142549, 22.12761023
0.183550428, 0.86008114, 0.068201228, 0.015585873, 0.280183573, 10.1627751
0.148602435, 0.63583899, 0.786052132, 0.029312947, 0.093775809, 6.943964768
0.481906682, 0.016855051, 0.744780027, 0.695976914, 0.40059762, 9.889567608
0.107831203, 0.221571757, 0.267548798, 0.808068393, 0.251011241, 10.76614414
0.76401868, 0.638784802, 0.716864257, 0.535191572, 0.327756492, 18.52674805
0.60070461, 0.731301057, 0.31900683, 0.177400955, 0.466102324, 14.81792337
0.016823425, 0.434188425, 0.37584492, 0.384287485, 0.298714829, 6.214250564
0.678117829, 0.006525348, 0.296765545, 0.7457425, 0.148417059, 7.411490033
0.491452137, 0.762768376, 0.3595438, 0.290991551, 0.039352705, 13.84815549
0.14673016, 0.248228745, 0.065834535, 0.772293471, 0.905506284, 16.76321959
0.666376898, 0.698846894, 0.586676126, 0.95756002, 0.40827905, 22.40161838
0.325826664, 0.154995867, 0.425737657, 0.380859501, 0.632491115, 9.373106789
0.967035072, 0.462770691, 0.082284335, 0.325784014, 0.736124208, 21.66118697
0.73321181, 0.084517791, 0.260555192, 0.123872001, 0.758248214, 9.693465454
0.839825558, 0.138136279, 0.847718824, 0.657902002, 0.466890217, 16.69704807
0.946329521, 0.113556905, 0.453687824, 0.879448454, 0.274596252, 14.97004653
0.086218271, 0.960969292, 0.890740255, 0.171371307, 0.248929335, 8.708381352
0.330898784, 0.968284207, 0.730527277, 0.719714251, 0.524981343, 19.54874312
0.511886282, 0.44649922, 0.280165828, 0.719922096, 0.566234111, 17.49144611
0.644179455, 0.69775243, 0.837943861, 0.657990749, 0.338469302, 21.69416467
0.774868478, 0.194650794, 0.876772282, 0.991905565, 0.715884723, 22.37683349
0.824027011, 0.980605494, 0.737881138, 0.941980628, 0.403071331, 17.29540289
0.377372756, 0.389163938, 0.190361284, 0.749496154, 0.013050527, 13.77822317
0.09731405, 0.932609373, 0.367983551, 0.177781436, 0.202805098, 6.877368368
0.048412268, 0.668215907, 0.759747345, 0.68999966, 0.697987849, 12.26719983
0.912897425, 0.776935729, 0.497122874, 0.455074815, 0.501082266, 13.2607014
0.341016568, 0.335036685, 0.606606881, 0.697502029, 0.378749778, 12.62116296
0.961788884, 0.939957716, 0.536051847, 0.7765161, 0.375942337, 14.07753591
0.350442193, 0.904100744, 0.38473527, 0.696413413, 0.687453693, 17.10140284
0.598939719, 0.398312194, 0.035384347, 0.720999654, 0.148925909, 18.57135533
0.520793741, 0.926653351, 0.87388401, 0.626192917, 0.051961353, 18.03231883
0.694586373, 0.744094063, 0.959116488, 0.694354753, 0.469352355, 23.95594847
0.28750928, 0.839967849, 0.535569167, 0.036112456, 0.871757591, 11.06286866
0.72743241, 0.325024266, 0.274643514, 0.4852777, 0.123620424, 12.42110335
0.317515806, 0.53405422, 0.157823652, 0.197415053, 0.024567403, 8.833997251
0.580976992, 0.986368095, 0.332388881, 0.602530652, 0.664857837, 20.26993709
