@relation Friedman_Benchmark_problem
@attribute input1 real [0.001211673, 0.99971881]
@attribute input2 real [1.60284E-4, 0.999677453]
@attribute input3 real [6.54566E-4, 0.999061886]
@attribute input4 real [2.12289E-4, 0.999480216]
@attribute input5 real [4.29891E-4, 0.999539431]
@attribute output real [0.664014955, 28.5903858]
@inputs input1, input2, input3, input4, input5
@outputs output
@data
0.330049526, 0.627719101, 0.040620732, 0.147535558, 0.158041144, 13.362048910
0.552924003, 0.477958087, 0.237698278, 0.646116007, 0.716632355, 19.364633970
0.304709726, 0.765541218, 0.591629792, 0.607510350, 0.570472256, 15.888087610
0.087329075, 0.870172208, 0.172580408, 0.123510460, 0.207553837, 6.609560509
0.582632439, 0.244511431, 0.558090885, 0.221911796, 0.607076024, 10.994528360
0.392723740, 0.151174656, 0.897623245, 0.769212230, 0.644638571, 18.991886510
0.490243588, 0.893600516, 0.261996483, 0.278784858, 0.157419884, 13.779304130
0.567270049, 0.370475062, 0.646909315, 0.507712582, 0.456596834, 13.170114570
0.519121416, 0.502755257, 0.770705133, 0.306437360, 0.732636709, 13.987199800
0.837944690, 0.666131688, 0.290639010, 0.577045304, 0.373258020, 18.490030280
0.578030646, 0.050298665, 0.194514915, 0.542311056, 0.248207378, 10.334950150
0.985327835, 0.115991137, 0.360278629, 0.507743419, 0.759441183, 13.899032190
0.716290015, 0.895567042, 0.575246335, 0.705587494, 0.786106008, 19.865429460
0.082641266, 0.831203822, 0.464060783, 0.752272881, 0.283287385, 10.019373870
0.546379333, 0.202756063, 0.478624023, 0.777858854, 0.563128945, 16.596848860
0.964269598, 0.303049910, 0.464489875, 0.966393534, 0.162229190, 21.319897550
0.350201925, 0.544432052, 0.078505593, 0.214754806, 0.318275596, 14.851121240
0.810716912, 0.262116166, 0.454194418, 0.854706083, 0.279769507, 15.181592680
0.750990239, 0.686462903, 0.963499423, 0.739162516, 0.526401369, 22.636438360
0.728502196, 0.831395515, 0.346678641, 0.942261580, 0.162308601, 20.350179930
0.267420537, 0.548423201, 0.275587474, 0.755913221, 0.035072033, 14.338394700
0.800832799, 0.190242490, 0.582818005, 0.066951485, 0.741862602, 7.905320591
0.527532136, 0.104436805, 0.885191621, 0.678239052, 0.197058514, 12.052848180
0.116757566, 0.887383580, 0.205468917, 0.121564385, 0.095153360, 6.846979910
0.341036813, 0.533865794, 0.307294215, 0.147816153, 0.913766969, 12.723041470
0.093112285, 0.667079972, 0.603728442, 0.428352735, 0.063536502, 7.442119469
0.519317632, 0.429787961, 0.158892582, 0.695373605, 0.475499085, 19.020265570
0.616992850, 0.698109682, 0.346514653, 0.331735635, 0.187002838, 16.114306330
0.605954412, 0.289611647, 0.487314589, 0.127905124, 0.367551806, 9.263458461
0.357083622, 0.129579412, 0.810736250, 0.452043150, 0.727107602, 11.824655010
0.158721125, 0.011496923, 0.122606313, 0.327931431, 0.825913608, 10.553008370
0.131402473, 0.715015106, 0.374679535, 0.939044162, 0.564041990, 15.370977500
0.064983871, 0.417926933, 0.671731461, 0.286009469, 0.110320006, 4.128628241
0.294472299, 0.223775207, 0.907630692, 0.052349484, 0.335608547, 7.130714562
0.136720688, 0.945200475, 0.025196540, 0.666546613, 0.365608841, 16.672270430
0.089107936, 0.340361645, 0.903037662, 0.944207293, 0.271154705, 14.276760870
0.535193449, 0.346194305, 0.185591713, 0.907537777, 0.139836210, 16.719000020
0.660734048, 0.280407853, 0.096852241, 0.397190396, 0.018209117, 12.290901090
0.932878420, 0.010287868, 0.248479856, 0.531990661, 0.891606245, 13.366628360
0.831420962, 0.596595652, 0.377224641, 0.934525530, 0.186559707, 20.818633680
0.206465689, 0.910855862, 0.726745059, 0.574554120, 0.907339802, 17.114836880
0.426944954, 0.237723010, 0.889008333, 0.162165466, 0.838366866, 10.730170000
0.994246505, 0.706250702, 0.299468195, 0.288469396, 0.269260324, 14.538299190
0.248700099, 0.694994780, 0.755057985, 0.635797699, 0.380529018, 15.372566310
0.961788884, 0.939957716, 0.536051847, 0.776516100, 0.375942337, 14.077535910
0.851719282, 0.946391981, 0.726973345, 0.816547944, 0.528688152, 16.593796210
0.992573566, 0.276316563, 0.916293811, 0.132847172, 0.903401688, 15.845262500
0.583207559, 0.892761865, 0.025603404, 0.662359421, 0.243202237, 23.258277060
0.142980150, 0.419378914, 0.931637471, 0.822932803, 0.234382352, 15.135399760
0.026835988, 0.767560269, 0.420728074, 0.181740850, 0.088214407, 2.216392715
0.912897425, 0.776935729, 0.497122874, 0.455074815, 0.501082266, 13.260701400
0.635943127, 0.808775842, 0.198873699, 0.349926703, 0.841480572, 19.133090330
0.780143926, 0.004820877, 0.557158238, 0.062379016, 0.835640930, 4.826842507
0.163473644, 0.685988112, 0.300577744, 0.185349306, 0.526863290, 9.255939802
0.810636175, 0.469199120, 0.215886446, 0.432109584, 0.959551615, 19.651538090
0.256045800, 0.837123987, 0.606006172, 0.797945513, 0.834213112, 16.588305530
0.846813799, 0.769648069, 0.925009895, 0.733507239, 0.985916801, 24.494567580
0.757035077, 0.052819091, 0.947618352, 0.771158352, 0.757504267, 16.384095530
0.226413261, 0.815961944, 0.773574291, 0.484440355, 0.900050364, 15.913876000
0.701669272, 0.305247376, 0.045803364, 0.046165615, 0.603834348, 11.880817710
0.355359989, 0.201775249, 0.846047057, 0.239478410, 0.128787872, 7.005291873
0.945272054, 0.728170658, 0.575359221, 0.814238570, 0.848323851, 20.103247630
0.380547997, 0.573204285, 0.650608093, 0.833412437, 0.154872703, 15.543095960
0.897527548, 0.829371341, 0.467264105, 0.212098406, 0.229768402, 10.130999110
0.652874344, 0.090260351, 0.658229505, 0.683295470, 0.856134308, 14.645462180
0.596023917, 0.762219688, 0.970879791, 0.221756118, 0.078157055, 18.072815140
0.602370235, 0.089409571, 0.302720430, 0.228674405, 0.022656705, 4.769197650
0.016823425, 0.434188425, 0.375844920, 0.384287485, 0.298714829, 6.214250564
0.980334925, 0.080626670, 0.045850399, 0.508094381, 0.206245822, 11.679535780
0.033919980, 0.339453175, 0.980962541, 0.244437445, 0.831473753, 11.602559030
0.835029529, 0.036326592, 0.974787504, 0.599407633, 0.993687429, 16.295619890
0.559078081, 0.917156068, 0.601074479, 0.363780755, 0.902125726, 17.597202960
0.235653009, 0.559526605, 0.322117334, 0.725667622, 0.993045221, 15.073051140
0.075873356, 0.363556557, 0.700271098, 0.573777889, 0.283971720, 6.973249846
0.868292117, 0.708203148, 0.474445347, 0.739075274, 0.669591627, 18.822656650
0.122858289, 0.802585406, 0.402601184, 0.157555809, 0.566927405, 7.472131214
0.644179455, 0.697752430, 0.837943861, 0.657990749, 0.338469302, 21.694164670
0.019084698, 0.642149379, 0.760381417, 0.917219458, 0.223625393, 11.380109510
0.107831203, 0.221571757, 0.267548798, 0.808068393, 0.251011241, 10.766144140
0.439676518, 0.274407615, 0.168516277, 0.209686224, 0.539731970, 8.473425098
0.888273282, 0.943225266, 0.626667199, 0.709884059, 0.982673154, 16.881568990
0.149481000, 0.264223591, 0.151209728, 0.242066470, 0.546128003, 7.960097505
0.743846533, 0.528126141, 0.938154910, 0.830695632, 0.473128939, 22.505809140
0.019052036, 0.321368622, 0.372566244, 0.184408928, 0.291411817, 5.959279973
0.380794021, 0.989410211, 0.209011527, 0.913535215, 0.040673041, 22.343799700
0.517044967, 0.109949497, 0.025341640, 0.091577305, 0.592042513, 9.923715370
0.999718810, 0.449758827, 0.292769936, 0.504872809, 0.567180421, 19.200775370
0.436781784, 0.845225149, 0.167516954, 0.395335885, 0.805057665, 19.596196220
0.036429965, 0.990011217, 0.111492664, 0.180777972, 0.631791522, 8.753545786
0.851480948, 0.605718110, 0.968884272, 0.623758132, 0.139941572, 20.296523520
0.659555095, 0.701910919, 0.678460795, 0.374797223, 0.094855042, 14.311459040
0.400314402, 0.699067025, 0.748578227, 0.998094784, 0.500204400, 21.660026970
0.210663175, 0.134372963, 0.888195320, 0.177559946, 0.027557946, 5.926881090
0.375112201, 0.188249706, 0.011690813, 0.026804106, 0.454455911, 9.173519741
0.383417531, 0.754896936, 0.054136347, 0.884389890, 0.804436278, 24.836867510
0.333399485, 0.527669244, 0.450976033, 0.246950171, 0.508954210, 9.110224319
0.965806248, 0.394492070, 0.517951087, 0.008951021, 0.119308197, 9.008649642
0.302497256, 0.036879552, 0.405402490, 0.669177745, 0.205962857, 8.123948658
0.386811669, 0.088729524, 0.623979350, 0.312521948, 0.489380867, 5.767377888
0.901111137, 0.023798775, 0.939099216, 0.104731882, 0.783136618, 8.588867554
0.163152427, 0.531315830, 0.264090270, 0.841872442, 0.240583492, 14.202088130
0.664922660, 0.416767879, 0.288667049, 0.210413824, 0.685489780, 14.418049580
0.520839773, 0.378738363, 0.800790610, 0.775904142, 0.365906813, 16.705982020
0.908447253, 0.071798313, 0.342557958, 0.473037329, 0.910931735, 12.152457730
0.318335262, 0.581935346, 0.398364866, 0.552673080, 0.013649064, 10.707997210
0.523655533, 0.032320432, 0.630286024, 0.250373241, 0.126924826, 4.650543935
0.133088132, 0.269872740, 0.631506050, 0.232246422, 0.103433052, 4.678903881
0.293744819, 0.079198150, 0.016362441, 0.906864336, 0.525973306, 14.470783670
0.694629301, 0.165691369, 0.466260991, 0.360522890, 0.906631430, 12.454974060
0.237429384, 0.005309439, 0.355331948, 0.926386908, 0.257149889, 12.215084780
0.659257157, 0.775861893, 0.950976590, 0.752421388, 0.741777067, 25.077604150
0.752159046, 0.165314680, 0.766794625, 0.901334688, 0.219296038, 16.207281390
0.679623174, 0.790519981, 0.908062601, 0.294130609, 0.868037434, 20.560925150
0.121124298, 0.773054357, 0.378163652, 0.156557330, 0.760862084, 8.544988296
0.315697588, 0.677338511, 0.352844909, 0.501174846, 0.249487386, 12.680139020
0.982496938, 0.313756853, 0.617378027, 0.480929818, 0.423074147, 16.264064610
0.150277914, 0.090716563, 0.138694404, 0.329071711, 0.024599882, 6.604591931
0.620291452, 0.093672351, 0.167487811, 0.109118609, 0.865183138, 9.610590885
0.490446429, 0.885707220, 0.741938496, 0.789297998, 0.906965636, 24.534575280
0.758325195, 0.723066760, 0.449972370, 0.389971759, 0.123973373, 13.832505600
0.950178894, 0.918247788, 0.322853691, 0.957424716, 0.079461278, 15.168337830
0.551209624, 0.641040743, 0.872468471, 0.724183363, 0.416139242, 22.112856840
0.846819036, 0.821082283, 0.060428739, 0.681976891, 0.906372396, 22.192886230
0.707916412, 0.658411659, 0.472225627, 0.939209797, 0.190747194, 19.447657360
0.372402732, 0.578557948, 0.228936042, 0.592193056, 0.139325833, 14.719233300
0.303017889, 0.150015720, 0.515708837, 0.987817672, 0.568688041, 14.760484740
0.799646545, 0.540045452, 0.997714486, 0.765290922, 0.133468595, 24.105490280
