@relation Friedman_Benchmark_problem
@attribute input1 real [0.001211673, 0.99971881]
@attribute input2 real [1.60284E-4, 0.999677453]
@attribute input3 real [6.54566E-4, 0.999061886]
@attribute input4 real [2.12289E-4, 0.999480216]
@attribute input5 real [4.29891E-4, 0.999539431]
@attribute output real [0.664014955, 28.5903858]
@inputs input1, input2, input3, input4, input5
@outputs output
@data
0.611408651, 0.855688547, 0.928548012, 0.481348465, 0.534596891, 21.264907130
0.503029897, 0.467947143, 0.920215414, 0.646907734, 0.492187073, 19.316026900
0.467287852, 0.445319165, 0.690848200, 0.031503816, 0.610299624, 9.086305014
0.608443350, 0.733470141, 0.621582543, 0.773478256, 0.541283300, 21.538981530
0.656987531, 0.485872317, 0.963353730, 0.308312186, 0.145301068, 16.839670300
0.543182984, 0.811415805, 0.125949820, 0.164512702, 0.890574970, 19.866658590
0.199097672, 0.549562878, 0.468348899, 0.865861295, 0.835100487, 16.086650190
0.139507919, 0.318595954, 0.142194412, 0.702652052, 0.957133723, 16.796007400
0.500359582, 0.242781526, 0.568696825, 0.382843709, 0.119392302, 6.535004446
0.016499186, 0.249837486, 0.865277752, 0.104132974, 0.901266170, 7.149591811
0.238363493, 0.179191104, 0.047163047, 0.399608062, 0.762100051, 12.003820700
0.401486244, 0.207730690, 0.334435045, 0.697906177, 0.347891304, 12.162796990
0.793937889, 0.475332735, 0.454120682, 0.130545477, 0.298451714, 11.719419610
0.513386612, 0.181247356, 0.241608687, 0.050242187, 0.639841870, 9.198685877
0.501855145, 0.930710069, 0.714913445, 0.376269310, 0.552216840, 17.520188390
0.276301806, 0.771362777, 0.765158097, 0.828998801, 0.808555575, 19.269783970
0.660848139, 0.400899401, 0.444339773, 0.072239494, 0.675400070, 11.065223130
0.883320925, 0.306130870, 0.722602482, 0.890300696, 0.854467318, 21.294905660
0.317863759, 0.951299895, 0.927591766, 0.090060497, 0.695471780, 17.795900560
0.045672624, 0.762171870, 0.501259876, 0.084566615, 0.740050941, 6.491599412
0.323085957, 0.238512857, 0.646096717, 0.527185686, 0.701953112, 11.432926330
0.063205596, 0.953487908, 0.416070799, 0.442643582, 0.413941948, 9.022453974
0.187790286, 0.499726720, 0.027442635, 0.725446958, 0.825902740, 18.634649190
0.174510855, 0.082435004, 0.805498268, 0.009813211, 0.586867978, 3.584697559
0.894193160, 0.082351078, 0.981264615, 0.211115100, 0.572726312, 13.044329220
0.140198779, 0.103533598, 0.014795485, 0.517784073, 0.368709474, 13.052394390
0.763125770, 0.869516926, 0.737059063, 0.868382671, 0.597539304, 20.511657470
0.227420080, 0.703928619, 0.494298603, 0.717904540, 0.751815008, 15.783565730
0.653760626, 0.794436624, 0.373410386, 0.474727283, 0.507969638, 19.942552340
0.080403307, 0.852205637, 0.722889135, 0.705525855, 0.180745595, 9.834006408
0.460531763, 0.093772420, 0.150263366, 0.947842438, 0.971911546, 20.211834550
0.309811484, 0.869915904, 0.655416166, 0.053489547, 0.532165343, 9.301524115
0.891997601, 0.519770578, 0.878169984, 0.718740475, 0.961534209, 25.002916640
0.718737794, 0.935200208, 0.812571450, 0.475536373, 0.454045087, 18.782386400
0.881634357, 0.742351398, 0.844403519, 0.098283417, 0.452763838, 13.012163780
0.544828343, 0.970482929, 0.324173100, 0.915346046, 0.824845854, 24.898853160
0.636034417, 0.705336338, 0.319499974, 0.020568319, 0.212784092, 12.744167680
0.598939719, 0.398312194, 0.035384347, 0.720999654, 0.148925909, 18.571355330
0.022411652, 0.316160681, 0.225374545, 0.614729857, 0.473257504, 11.736143330
0.742462799, 0.938473297, 0.957576619, 0.571299181, 0.940582312, 21.893482050
0.621151546, 0.540659514, 0.028418189, 0.306362804, 0.000429891, 16.067851890
0.163941493, 0.280729793, 0.258625306, 0.170453508, 0.235229466, 5.529560443
0.727432410, 0.325024266, 0.274643514, 0.485277700, 0.123620424, 12.421103350
0.811999986, 0.863192169, 0.621615763, 0.099730515, 0.664716846, 12.237987430
0.919876599, 0.319403513, 0.073232407, 0.426791741, 0.733019229, 19.360006810
0.992207680, 0.682948275, 0.446333159, 0.649280848, 0.798535687, 17.683368730
0.053095221, 0.659491047, 0.072895606, 0.119075567, 0.652466642, 10.118602030
0.419872823, 0.782325228, 0.427393887, 0.646691864, 0.372122147, 18.264125060
0.984867414, 0.594201138, 0.860705311, 0.198182589, 0.562532024, 17.334906230
0.819750141, 0.977465079, 0.895869116, 0.541918045, 0.388448442, 15.685121900
0.760134791, 0.495111245, 0.698864055, 0.755214856, 0.176425651, 16.982944320
0.238599333, 0.495379381, 0.332232018, 0.061979962, 0.916533591, 9.246902424
0.762754600, 0.224252710, 0.597188464, 0.199230543, 0.854489811, 10.886845970
