@relation machineCPU
@attribute MYCT integer [17, 1500]
@attribute MMIN integer [64, 32000]
@attribute MMAX integer [64, 64000]
@attribute CACH integer [0, 256]
@attribute CHMIN integer [0, 52]
@attribute CHMAX integer [0, 176]
@attribute PRP integer [6, 1150]
@inputs MYCT, MMIN, MMAX, CACH, CHMIN, CHMAX
@outputs PRP
@data
29, 8000, 16000, 32, 8, 16, 132
50, 4000, 16000, 65, 1, 8, 138
167, 524, 2000, 8, 4, 15, 19
143, 1000, 2000, 0, 5, 16, 31
143, 2300, 6200, 0, 6, 64, 61
320, 256, 5000, 4, 1, 6, 27
25, 1310, 2620, 131, 12, 24, 368
50, 2000, 8000, 8, 1, 5, 71
50, 2000, 16000, 8, 3, 5, 40
50, 2000, 16000, 8, 3, 6, 52
200, 1000, 8000, 0, 1, 2, 36
75, 2000, 8000, 64, 1, 38, 144
105, 2000, 4000, 8, 3, 19, 32
75, 3000, 8000, 8, 3, 48, 64
300, 768, 4500, 0, 1, 24, 45
180, 768, 12000, 6, 1, 31, 84
330, 1000, 3000, 0, 2, 4, 16
140, 2000, 4000, 0, 3, 6, 29
26, 16000, 32000, 64, 8, 24, 465
203, 1000, 2000, 0, 1, 5, 24
900, 512, 1000, 0, 1, 2, 11
900, 1000, 4000, 8, 1, 2, 22
900, 2000, 4000, 0, 3, 6, 37
115, 2000, 4000, 2, 1, 5, 40
75, 4000, 16000, 16, 1, 6, 66
40, 8000, 32000, 64, 8, 24, 277
56, 1000, 4000, 0, 1, 6, 17
56, 2000, 6000, 0, 1, 8, 21
56, 4000, 16000, 0, 1, 8, 46
38, 8000, 16000, 64, 4, 8, 100
38, 4000, 16000, 128, 16, 32, 212
250, 512, 4000, 0, 1, 7, 25
250, 512, 4000, 0, 4, 7, 50
240, 512, 1000, 8, 1, 3, 6
105, 2000, 6000, 16, 6, 16, 33
105, 2000, 8000, 16, 4, 14, 58
70, 4000, 12000, 8, 6, 8, 75
59, 4000, 12000, 32, 6, 12, 113
59, 8000, 16000, 64, 12, 24, 188
26, 8000, 32000, 64, 12, 16, 248
30, 8000, 64000, 96, 12, 176, 915
180, 262, 4000, 0, 1, 3, 12
