%The problem concerns Relative CPU Performance Data. More information can be obtained in the UCI Machine
% Learning repository (http://www.ics.uci.edu/~mlearn/MLSummary.html).
% The used attributes are :
% MYCT: machine cycle time in nanoseconds (integer)
% MMIN: minimum main memory in kilobytes (integer)
% MMAX: maximum main memory in kilobytes (integer)
% CACH: cache memory in kilobytes (integer)
% CHMIN: minimum channels in units (integer)
% CHMAX: maximum channels in units (integer)
% PRP: published relative performance (integer) (target variable)
% 
% Original source: UCI machine learning repository. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 209 cases; 6 continuous variables 

@relation machine_cpu
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
50,2000,16000,24,6,16,54
124,1000,8000,0,1,8,42
92,2000,8000,4,1,6,50
320,256,3000,4,1,3,27
50,500,2000,8,1,4,20
29,8000,32000,32,8,32,172
40,8000,32000,64,8,24,277
115,2000,4000,2,1,5,40
50,4000,32000,112,52,104,397
200,2000,8000,64,1,5,41
180,262,4000,0,1,3,12
35,8000,32000,64,8,24,370
26,8000,24000,32,8,16,173
50,1000,4000,8,3,5,26
92,2000,8000,32,1,6,60
480,1000,4000,0,0,0,45
50,2000,16000,24,6,16,65
50,2000,16000,8,3,6,60
26,8000,16000,0,8,16,185
17,4000,16000,32,6,12,133
23,16000,64000,64,16,32,636
300,1000,4000,8,3,64,38
30,8000,64000,128,12,176,1150
50,2000,32000,48,26,52,208
50,4000,16000,64,5,10,111
50,2000,16000,8,3,5,40
800,768,2000,0,0,0,20
23,32000,64000,128,32,64,1144
140,2000,8000,32,1,54,66
26,8000,32000,64,12,16,248
180,2000,8000,8,1,6,50
800,256,8000,0,1,4,20
116,2000,8000,32,5,28,70
133,1000,12000,9,3,12,72
180,2000,16000,16,1,6,66
56,4000,8000,0,1,8,34
56,1000,4000,0,1,6,17
160,2000,8000,32,1,13,109
50,4000,16000,65,1,8,138
115,2000,8000,16,1,3,50
1100,512,1500,0,1,1,7
50,1000,8000,8,3,5,36
110,3100,6200,0,6,64,76
140,2000,32000,32,1,54,189
23,16000,32000,64,16,32,367
56,4000,12000,0,1,8,42
225,2000,4000,8,3,6,34
75,2000,16000,128,1,38,259
1500,768,2000,0,0,0,18
75,2000,16000,64,1,38,144
143,2300,6200,0,6,64,61
300,768,3000,0,6,24,36
50,8000,16000,48,1,10,136
700,384,8000,0,1,1,24
330,1000,3000,0,2,4,16
320,512,8000,4,1,5,40
26,16000,32000,64,16,24,465
200,1000,2000,0,1,2,25
180,512,4000,0,1,3,14
50,2000,16000,12,3,16,45
25,1310,2620,131,12,24,274
75,2000,8000,64,1,38,144
810,512,512,8,1,1,18
105,2000,4000,8,3,8,22
143,512,5000,0,7,32,28
200,512,16000,0,4,32,35
50,2620,10480,30,12,24,32
100,1000,8000,24,2,6,26
240,512,2000,8,1,5,11
56,2000,6000,0,1,8,21
50,2000,8000,8,1,6,56
150,512,4000,0,8,128,30
50,2000,32000,24,6,26,114
133,1000,8000,9,3,12,72
50,2000,8000,8,3,6,45
56,4000,16000,0,1,8,46
125,2000,8000,0,2,14,52
29,8000,16000,32,8,16,132
320,128,6000,0,1,12,23
250,512,4000,0,4,7,50
50,2000,8000,8,1,5,71
25,2000,12000,16,3,5,66
480,512,8000,32,0,0,67
57,4000,24000,64,12,16,237
105,2000,6000,16,6,16,33
100,1000,8000,0,2,6,16
38,8000,16000,64,4,8,100
800,256,8000,0,1,4,16
38,4000,8000,32,16,32,116
38,8000,32000,64,8,24,326
300,768,4500,0,1,24,45
105,256,2000,0,3,10,26
900,1000,4000,4,1,2,18
64,5240,20970,30,12,24,208
140,2000,4000,0,3,6,29
70,4000,12000,8,6,8,75
125,512,1000,0,8,20,36
160,1000,4000,8,1,14,38
56,5240,20970,30,12,24,106
84,1000,2000,0,1,6,12
400,1000,3000,0,1,2,38
75,2000,8000,8,3,24,62
200,1000,4000,0,1,4,30
320,512,2000,4,1,3,69
90,256,1000,0,3,10,17
