%The problem concerns Relative CPU Performance Data. More information can be obtained in the UCI Machine
% Learning repository (http://www.ics.uci.edu/~mlearn/MLSummary.html).
% The used attributes are :
% MYCT: machine cycle time in nanoseconds (integer)
% MMIN: minimum main memory in kilobytes (integer)
% MMAX: maximum main memory in kilobytes (integer)
% CACH: cache memory in kilobytes (integer)
% CHMIN: minimum channels in units (integer)
% CHMAX: maximum channels in units (integer)
% PRP: published relative performance (integer) (target variable)
% 
% Original source: UCI machine learning repository. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 209 cases; 6 continuous variables 

@relation machine_cpu
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
50,2000,16000,8,3,5,40
180,2000,16000,16,1,6,66
25,2000,12000,16,3,5,66
29,8000,32000,32,8,32,172
800,256,8000,0,1,4,12
200,1000,2000,0,1,2,25
38,8000,32000,64,8,24,326
160,512,2000,2,3,8,32
300,1000,4000,8,3,64,38
50,4000,32000,112,52,104,397
56,5240,20970,30,12,24,106
250,1000,16000,1,1,8,50
350,64,64,0,1,4,10
200,2000,8000,64,1,5,41
133,1000,12000,9,3,12,72
50,2000,32000,112,52,104,307
320,256,5000,4,1,6,27
50,2000,16000,24,1,6,70
23,32000,64000,128,32,64,1144
84,1000,2000,0,1,6,12
140,2000,32000,32,1,54,141
50,2000,4000,0,3,6,27
400,2000,4000,0,1,1,32
60,2000,8000,65,1,8,92
26,8000,32000,64,12,16,248
48,4000,24000,32,8,24,214
250,512,4000,0,4,7,50
330,1000,3000,0,2,4,16
125,2000,8000,0,2,14,52
105,2000,4000,8,3,8,22
143,1500,6300,0,5,32,30
900,1000,1000,0,1,2,11
59,4000,12000,32,6,12,113
29,8000,32000,32,8,32,269
50,2000,32000,24,6,26,114
25,2000,12000,8,1,4,49
300,768,4500,0,1,24,45
92,2000,8000,4,1,6,50
1500,768,1000,0,0,0,12
38,4000,16000,128,16,32,212
105,2000,8000,16,4,14,58
200,512,16000,0,4,32,35
90,256,1000,0,3,10,17
56,4000,8000,0,1,8,34
330,1000,4000,0,3,6,22
140,2000,4000,0,3,6,29
105,256,2000,0,3,10,26
98,1000,8000,32,2,8,46
75,2000,16000,128,1,38,259
900,1000,4000,4,1,2,18
203,1000,2000,0,1,5,24
160,1000,8000,16,1,14,60
30,8000,64000,128,12,176,1150
72,4000,16000,64,8,16,143
400,512,3500,4,1,6,40
125,512,1000,0,8,20,36
320,512,8000,4,1,5,40
50,2000,16000,24,6,16,65
180,2000,8000,8,1,6,50
50,8000,16000,48,1,10,136
23,16000,32000,64,16,32,489
105,1000,4000,0,3,24,32
810,512,512,8,1,1,18
50,2000,8000,8,1,5,71
38,4000,8000,32,16,32,51
50,2000,16000,8,3,6,60
35,8000,32000,64,8,24,370
124,1000,8000,0,1,8,42
26,8000,32000,128,24,32,405
400,1000,3000,0,1,2,38
810,1000,5000,0,1,1,20
23,16000,64000,64,16,32,636
72,2000,8000,16,6,8,105
110,1000,4000,16,1,2,26
1500,768,2000,0,0,0,18
26,8000,16000,0,8,16,185
160,2000,8000,32,1,13,109
23,16000,32000,64,16,32,367
50,2000,16000,24,6,16,54
300,384,12000,6,1,24,53
900,2000,4000,0,3,6,37
115,2000,4000,2,1,5,40
50,4000,16000,65,1,8,138
800,256,8000,0,1,4,16
75,4000,16000,16,1,6,66
110,5000,5000,142,8,64,120
56,2000,6000,0,1,8,21
50,2000,16000,24,1,6,80
75,2000,16000,64,1,38,144
25,1310,2620,131,12,24,274
480,512,8000,32,0,0,67
220,1000,8000,16,1,2,71
180,768,12000,6,1,31,84
140,2000,4000,0,4,8,40
800,768,2000,0,0,0,20
100,1000,8000,24,2,6,26
50,2000,16000,8,3,6,52
50,1000,8000,8,3,5,36
320,256,3000,4,1,3,27
320,128,6000,0,1,12,23
38,8000,16000,64,4,8,100
240,512,1000,8,1,3,6
60,2000,16000,64,5,8,74
140,2000,32000,32,1,20,134
