@relation vehicle
@attribute COMPACTNESS integer [73, 119]
@attribute CIRCULARITY integer [33, 59]
@attribute DISTANCECIRCULARITY integer [40, 112]
@attribute RADIUSRATIO integer [104, 333]
@attribute PRAXISASPECTRATIO integer [47, 138]
@attribute MAXLENGTHASPECTRATIO integer [2, 55]
@attribute SCATTERRATIO integer [112, 265]
@attribute ELONGATEDNESS integer [26, 61]
@attribute PRAXISRECTANGULAR integer [17, 29]
@attribute LENGTHRECTANGULAR integer [118, 188]
@attribute MAJORVARIANCE integer [130, 320]
@attribute MINORVARIANCE integer [184, 1018]
@attribute GYRATIONRADIUS integer [109, 268]
@attribute MAJORSKEWNESS integer [59, 135]
@attribute MINORSKEWNESS integer [0, 22]
@attribute MINORKURTOSIS integer [0, 41]
@attribute MAJORKURTOSIS integer [176, 206]
@attribute HOLLOWSRATIO integer [181, 211]
@attribute class {van, saab, bus, opel}
@inputs COMPACTNESS, CIRCULARITY, DISTANCECIRCULARITY, RADIUSRATIO, PRAXISASPECTRATIO, MAXLENGTHASPECTRATIO, SCATTERRATIO, ELONGATEDNESS, PRAXISRECTANGULAR, LENGTHRECTANGULAR, MAJORVARIANCE, MINORVARIANCE, GYRATIONRADIUS, MAJORSKEWNESS, MINORSKEWNESS, MINORKURTOSIS, MAJORKURTOSIS, HOLLOWSRATIO
@outputs class
@data
85, 44, 70, 205, 103, 52, 149, 45, 19, 144, 241, 325, 188, 127, 9, 11, 180, 183, bus
90, 34, 66, 136, 55, 6, 123, 54, 17, 118, 148, 224, 118, 65, 5, 26, 196, 202, saab
81, 45, 68, 169, 73, 6, 151, 44, 19, 146, 173, 336, 186, 75, 7, 0, 183, 189, bus
88, 37, 51, 105, 52, 5, 119, 57, 17, 128, 135, 207, 125, 86, 8, 16, 179, 183, van
94, 36, 66, 151, 61, 8, 133, 50, 18, 135, 154, 265, 119, 62, 9, 3, 201, 208, van
89, 44, 68, 113, 50, 7, 150, 45, 19, 147, 171, 328, 189, 88, 6, 5, 179, 182, bus
102, 54, 100, 163, 53, 10, 213, 31, 24, 173, 219, 669, 201, 76, 12, 27, 187, 195, opel
93, 35, 72, 172, 62, 7, 149, 44, 19, 124, 169, 334, 125, 62, 5, 30, 203, 210, opel
85, 40, 72, 139, 59, 5, 132, 50, 18, 135, 159, 260, 150, 68, 3, 9, 191, 195, saab
96, 49, 98, 187, 59, 6, 213, 31, 24, 152, 228, 680, 210, 77, 8, 28, 188, 189, bus
89, 44, 72, 160, 66, 7, 144, 46, 19, 147, 166, 312, 169, 69, 11, 1, 191, 198, bus
91, 42, 81, 193, 69, 5, 169, 38, 20, 137, 184, 434, 156, 68, 3, 23, 198, 204, bus
98, 45, 76, 166, 60, 7, 157, 42, 20, 148, 184, 371, 186, 69, 13, 10, 190, 196, opel
93, 43, 76, 149, 57, 7, 149, 44, 19, 143, 172, 335, 176, 69, 14, 0, 189, 194, saab
82, 44, 72, 136, 61, 7, 147, 46, 19, 143, 173, 317, 183, 81, 6, 17, 181, 185, bus
86, 46, 70, 149, 65, 8, 149, 45, 19, 146, 170, 331, 185, 77, 6, 6, 183, 188, bus
