@relation yeast-1_vs_7
@attribute Mcg real [0.11, 0.9]
@attribute Gvh real [0.13, 0.83]
@attribute Alm real [0.26, 0.68]
@attribute Mit real [0.0, 0.86]
@attribute Erl real [0.5, 1.0]
@attribute Vac real [0.0, 0.68]
@attribute Nuc real [0.16, 1.0]
@attribute Class {positive, negative}
@input Mcg,Gvh,Alm,Mit,Erl,Vac,Nuc
@output Class
@data
0.45, 0.46, 0.55, 0.43, 0.5, 0.55, 0.38, negative
0.37, 0.32, 0.47, 0.18, 0.5, 0.45, 0.25, negative
0.33, 0.43, 0.64, 0.16, 0.5, 0.52, 0.52, negative
0.44, 0.52, 0.41, 0.23, 0.5, 0.51, 0.22, negative
0.37, 0.46, 0.4, 0.27, 0.5, 0.45, 0.22, negative
0.42, 0.51, 0.5, 0.12, 0.5, 0.52, 0.46, negative
0.57, 0.51, 0.53, 0.18, 0.5, 0.56, 0.25, negative
0.38, 0.37, 0.56, 0.21, 0.5, 0.49, 0.22, negative
0.27, 0.36, 0.6, 0.33, 0.5, 0.37, 0.31, negative
0.55, 0.54, 0.56, 0.22, 0.5, 0.5, 0.37, negative
0.36, 0.24, 0.49, 0.16, 0.5, 0.51, 0.22, negative
0.6, 0.56, 0.47, 0.2, 0.5, 0.5, 0.38, negative
0.41, 0.24, 0.54, 0.26, 0.5, 0.41, 0.22, negative
0.61, 0.3, 0.59, 0.12, 0.5, 0.49, 0.27, negative
0.35, 0.68, 0.57, 0.4, 0.5, 0.53, 0.36, negative
0.56, 0.54, 0.59, 0.14, 0.5, 0.52, 0.27, negative
0.54, 0.56, 0.57, 0.18, 0.5, 0.45, 0.25, negative
0.4, 0.34, 0.52, 0.17, 0.5, 0.47, 0.51, negative
0.58, 0.48, 0.56, 0.12, 0.5, 0.46, 0.25, negative
0.46, 0.57, 0.57, 0.15, 0.5, 0.52, 0.26, negative
0.37, 0.34, 0.58, 0.24, 0.5, 0.44, 0.18, negative
0.39, 0.39, 0.55, 0.52, 0.5, 0.37, 0.16, negative
0.39, 0.39, 0.55, 0.52, 0.5, 0.37, 0.16, negative
0.51, 0.48, 0.58, 0.22, 0.5, 0.5, 0.28, negative
0.43, 0.39, 0.51, 0.28, 0.5, 0.4, 0.22, negative
0.44, 0.53, 0.52, 0.37, 0.5, 0.5, 0.22, negative
0.34, 0.34, 0.61, 0.18, 0.5, 0.52, 0.32, negative
0.42, 0.32, 0.61, 0.13, 0.5, 0.14, 0.27, negative
0.46, 0.32, 0.58, 0.17, 0.5, 0.61, 0.25, negative
0.58, 0.56, 0.52, 0.25, 0.5, 0.57, 0.35, negative
0.48, 0.62, 0.52, 0.3, 0.5, 0.51, 0.37, negative
0.87, 0.47, 0.6, 0.47, 0.5, 0.59, 0.22, negative
0.64, 0.76, 0.51, 0.18, 0.5, 0.46, 0.22, negative
0.25, 0.36, 0.58, 0.3, 0.5, 0.58, 0.31, negative
0.58, 0.51, 0.56, 0.16, 0.5, 0.34, 0.22, negative
0.31, 0.42, 0.48, 0.17, 0.5, 0.49, 0.53, negative
0.38, 0.48, 0.51, 0.13, 0.5, 0.5, 0.32, negative
0.37, 0.48, 0.5, 0.26, 0.5, 0.52, 0.39, negative
0.49, 0.71, 0.54, 0.13, 0.5, 0.58, 0.22, negative
0.5, 0.45, 0.53, 0.21, 0.5, 0.28, 0.22, negative
