@relation unknow
@attribute mcg real [0.0, 0.89]
@attribute gvh real [0.16, 1.0]
@attribute lip real [0.48, 1.0]
@attribute chg real [0.5, 1.0]
@attribute aac real [0.0, 0.88]
@attribute alm1 real [0.03, 1.0]
@attribute alm2 real [0.0, 0.99]
@attribute class {cp, im, pp, imU, om, omL, imL, imS}
@inputs mcg, gvh, lip, chg, aac, alm1, alm2
@outputs class
@data
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, cp
0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, cp
0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, cp
0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, cp
0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, cp
0.21, 0.34, 0.48, 0.5, 0.51, 0.28, 0.39, cp
0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, cp
0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, cp
0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, cp
0.22, 0.43, 0.48, 0.5, 0.48, 0.16, 0.28, cp
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, cp
0.44, 0.27, 0.48, 0.5, 0.55, 0.52, 0.58, cp
0.23, 0.4, 0.48, 0.5, 0.39, 0.28, 0.38, cp
0.4, 0.45, 0.48, 0.5, 0.38, 0.22, 0.0, cp
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, cp
0.51, 0.54, 0.48, 0.5, 0.41, 0.34, 0.43, cp
0.21, 0.51, 0.48, 0.5, 0.5, 0.32, 0.41, cp
0.43, 0.37, 0.48, 0.5, 0.53, 0.35, 0.44, cp
0.43, 0.39, 0.48, 0.5, 0.47, 0.31, 0.41, cp
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, cp
0.24, 0.35, 0.48, 0.5, 0.31, 0.19, 0.31, cp
0.65, 0.47, 0.48, 0.5, 0.59, 0.3, 0.4, cp
0.32, 0.42, 0.48, 0.5, 0.35, 0.28, 0.38, cp
0.33, 0.45, 0.48, 0.5, 0.52, 0.32, 0.41, cp
0.3, 0.37, 0.48, 0.5, 0.59, 0.41, 0.49, cp
0.4, 0.5, 0.48, 0.5, 0.45, 0.39, 0.47, cp
0.61, 0.45, 0.48, 0.5, 0.48, 0.35, 0.41, cp
0.43, 0.4, 0.48, 0.5, 0.39, 0.28, 0.39, cp
0.42, 0.35, 0.48, 0.5, 0.58, 0.15, 0.27, cp
0.37, 0.52, 0.48, 0.5, 0.42, 0.42, 0.36, cp
0.22, 0.36, 0.48, 0.5, 0.35, 0.39, 0.47, cp
0.23, 0.58, 0.48, 0.5, 0.37, 0.53, 0.59, cp
0.47, 0.47, 0.48, 0.5, 0.22, 0.16, 0.26, cp
0.4, 0.35, 0.48, 0.5, 0.45, 0.33, 0.42, cp
0.52, 0.36, 0.48, 0.5, 0.41, 0.28, 0.38, cp
0.18, 0.3, 0.48, 0.5, 0.46, 0.24, 0.35, cp
0.24, 0.43, 0.48, 0.5, 0.54, 0.52, 0.59, cp
0.37, 0.5, 0.48, 0.5, 0.42, 0.36, 0.45, cp
0.48, 0.42, 0.48, 0.5, 0.45, 0.25, 0.35, cp
0.44, 0.28, 0.48, 0.5, 0.43, 0.27, 0.37, cp
0.41, 0.43, 0.48, 0.5, 0.45, 0.31, 0.41, cp
0.29, 0.47, 0.48, 0.5, 0.41, 0.23, 0.34, cp
0.36, 0.56, 0.48, 0.5, 0.43, 0.45, 0.53, cp
0.4, 0.46, 0.48, 0.5, 0.52, 0.49, 0.56, cp
0.52, 0.44, 0.48, 0.5, 0.37, 0.36, 0.42, cp
0.41, 0.43, 0.48, 0.5, 0.5, 0.24, 0.25, cp
0.31, 0.47, 0.48, 0.5, 0.29, 0.28, 0.39, cp
0.64, 0.76, 0.48, 0.5, 0.45, 0.35, 0.38, cp
0.35, 0.37, 0.48, 0.5, 0.3, 0.34, 0.43, cp
0.57, 0.54, 0.48, 0.5, 0.37, 0.28, 0.33, cp
0.65, 0.55, 0.48, 0.5, 0.34, 0.37, 0.28, cp
0.33, 0.47, 0.48, 0.5, 0.53, 0.18, 0.29, cp
0.26, 0.5, 0.48, 0.5, 0.44, 0.32, 0.41, cp
0.49, 0.43, 0.48, 0.5, 0.49, 0.3, 0.4, cp
0.47, 0.28, 0.48, 0.5, 0.56, 0.2, 0.25, cp
0.32, 0.33, 0.48, 0.5, 0.6, 0.06, 0.2, cp
0.41, 0.51, 0.48, 0.5, 0.58, 0.2, 0.31, cp
0.29, 0.28, 0.48, 0.5, 0.5, 0.42, 0.5, cp
0.25, 0.26, 0.48, 0.5, 0.39, 0.32, 0.42, cp
0.17, 0.39, 0.48, 0.5, 0.53, 0.3, 0.39, cp
0.34, 0.51, 0.48, 0.5, 0.44, 0.37, 0.46, cp
0.4, 0.46, 0.48, 0.5, 0.42, 0.35, 0.44, cp
0.37, 0.44, 0.48, 0.5, 0.42, 0.39, 0.47, cp
0.3, 0.44, 0.48, 0.5, 0.49, 0.22, 0.33, cp
0.27, 0.42, 0.48, 0.5, 0.37, 0.38, 0.43, cp
0.06, 0.61, 0.48, 0.5, 0.49, 0.92, 0.37, im
0.44, 0.52, 0.48, 0.5, 0.43, 0.47, 0.54, im
0.23, 0.48, 0.48, 0.5, 0.59, 0.88, 0.89, im
0.46, 0.61, 0.48, 0.5, 0.48, 0.86, 0.87, im
0.27, 0.35, 0.48, 0.5, 0.51, 0.77, 0.79, im
0.52, 0.39, 0.48, 0.5, 0.65, 0.71, 0.73, im
0.12, 0.67, 0.48, 0.5, 0.74, 0.58, 0.63, im
0.4, 0.5, 0.48, 0.5, 0.65, 0.82, 0.84, im
0.73, 0.36, 0.48, 0.5, 0.53, 0.91, 0.92, im
0.84, 0.44, 0.48, 0.5, 0.48, 0.71, 0.74, im
0.48, 0.45, 0.48, 0.5, 0.6, 0.78, 0.8, im
0.54, 0.49, 0.48, 0.5, 0.4, 0.87, 0.88, im
0.5, 0.66, 0.48, 0.5, 0.31, 0.92, 0.92, im
0.72, 0.46, 0.48, 0.5, 0.51, 0.66, 0.7, im
0.64, 0.58, 0.48, 0.5, 0.48, 0.78, 0.73, im
0.47, 0.59, 0.48, 0.5, 0.52, 0.76, 0.79, im
0.63, 0.5, 0.48, 0.5, 0.59, 0.85, 0.86, im
0.45, 0.4, 0.48, 0.5, 0.61, 0.74, 0.77, im
0.5, 0.37, 0.48, 0.5, 0.66, 0.64, 0.69, im
0.6, 0.61, 0.48, 0.5, 0.54, 0.67, 0.71, im
0.83, 0.37, 0.48, 0.5, 0.61, 0.71, 0.74, im
0.34, 0.51, 0.48, 0.5, 0.67, 0.9, 0.9, im
0.63, 0.54, 0.48, 0.5, 0.65, 0.79, 0.81, im
0.6, 0.5, 1.0, 0.5, 0.54, 0.77, 0.8, im
0.2, 0.46, 0.48, 0.5, 0.57, 0.78, 0.81, im
0.89, 0.55, 0.48, 0.5, 0.51, 0.72, 0.76, im
0.12, 0.43, 0.48, 0.5, 0.63, 0.7, 0.74, im
0.61, 0.52, 0.48, 0.5, 0.54, 0.67, 0.52, im
0.41, 0.51, 0.48, 0.5, 0.53, 0.75, 0.78, im
0.34, 0.67, 0.48, 0.5, 0.52, 0.76, 0.79, im
0.58, 0.34, 0.48, 0.5, 0.56, 0.87, 0.81, im
0.59, 0.56, 0.48, 0.5, 0.55, 0.8, 0.82, im
0.51, 0.4, 0.48, 0.5, 0.57, 0.62, 0.67, im
0.37, 0.47, 0.48, 0.5, 0.39, 0.76, 0.79, im
