@relation unknow
@attribute mcg real [0.0, 0.89]
@attribute gvh real [0.16, 1.0]
@attribute lip real [0.48, 1.0]
@attribute chg real [0.5, 1.0]
@attribute aac real [0.0, 0.88]
@attribute alm1 real [0.03, 1.0]
@attribute alm2 real [0.0, 0.99]
@attribute class {cp, im, pp, imU, om, omL, imL, imS}
@inputs mcg, gvh, lip, chg, aac, alm1, alm2
@outputs class
@data
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, cp
0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, cp
0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, cp
0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, cp
0.21, 0.34, 0.48, 0.5, 0.51, 0.28, 0.39, cp
0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, cp
0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, cp
0.22, 0.43, 0.48, 0.5, 0.48, 0.16, 0.28, cp
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, cp
0.23, 0.4, 0.48, 0.5, 0.39, 0.28, 0.38, cp
0.4, 0.45, 0.48, 0.5, 0.38, 0.22, 0.0, cp
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, cp
0.51, 0.54, 0.48, 0.5, 0.41, 0.34, 0.43, cp
0.43, 0.37, 0.48, 0.5, 0.53, 0.35, 0.44, cp
0.53, 0.38, 0.48, 0.5, 0.44, 0.26, 0.36, cp
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, cp
0.24, 0.35, 0.48, 0.5, 0.31, 0.19, 0.31, cp
0.36, 0.54, 0.48, 0.5, 0.41, 0.38, 0.46, cp
0.32, 0.42, 0.48, 0.5, 0.35, 0.28, 0.38, cp
0.38, 0.46, 0.48, 0.5, 0.48, 0.22, 0.29, cp
0.28, 0.38, 0.48, 0.5, 0.5, 0.33, 0.42, cp
0.61, 0.45, 0.48, 0.5, 0.48, 0.35, 0.41, cp
0.44, 0.35, 0.48, 0.5, 0.55, 0.55, 0.61, cp
0.43, 0.4, 0.48, 0.5, 0.39, 0.28, 0.39, cp
0.23, 0.33, 0.48, 0.5, 0.43, 0.33, 0.43, cp
0.29, 0.3, 0.48, 0.5, 0.45, 0.03, 0.17, cp
0.47, 0.47, 0.48, 0.5, 0.22, 0.16, 0.26, cp
0.4, 0.35, 0.48, 0.5, 0.45, 0.33, 0.42, cp
0.44, 0.56, 0.48, 0.5, 0.5, 0.46, 0.54, cp
0.36, 0.41, 0.48, 0.5, 0.48, 0.47, 0.54, cp
0.18, 0.3, 0.48, 0.5, 0.46, 0.24, 0.35, cp
0.47, 0.29, 0.48, 0.5, 0.51, 0.33, 0.43, cp
